name,price,href,capacity,price_per_gb,type,cache,form_factor,interface
Intel DC P4511,,https://pcpartpicker.com/product/kD848d/intel-dc-p4511-2-tb-m2-22110-nvme-solid-state-drive-ssdpelkx020t801,2000,,SSD,,M.2-22110,M.2 PCIe 3.0 X4
Integral M,,https://pcpartpicker.com/product/L4gFf7/integral-m-series-1-tb-m2-2280-nvme-solid-state-drive-inssd1tm280nm1,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea Z44L,35.99,https://pcpartpicker.com/product/Yqt9TW/teamgroup-t-force-cardea-z44l-250-gb-m2-2280-nvme-solid-state-drive-tm8fpl250g0c127,250,0.144,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Acer Predator GM3500,,https://pcpartpicker.com/product/yGH7YJ/acer-predator-gm3500-512-gb-m2-2280-nvme-solid-state-drive-bl9bwwr101,512,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Ultrastar DC HC330,258.24,https://pcpartpicker.com/product/kx4Ycf/western-digital-ultrastar-dc-hc330-10-tb-35-7200-rpm-internal-hard-drive-0b42266,10000,0.026,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Red SN700,79.98,https://pcpartpicker.com/product/xhYmP6/western-digital-red-sn700-500-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-wds500g1r0c,500,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A55,21.99,https://pcpartpicker.com/product/mK97YJ/silicon-power-a55-256-gb-m2-2280-solid-state-drive-su256gbss3a55m28ab,256,0.086,SSD,,M.2-2280,M.2 SATA
TEAMGROUP GX2,24.91,https://pcpartpicker.com/product/GJjJ7P/team-gx2-256-gb-25-solid-state-drive-t253x2256g0c101,256,0.097,SSD,,2.5,SATA 6.0 Gb/s
Toshiba N300,245.59,https://pcpartpicker.com/product/QhXJ7P/toshiba-n300-8-tb-35-7200rpm-internal-hard-drive-hdwg480uzsva,8000,0.031,7200,256,3.5,SATA 6.0 Gb/s
Seagate Exos X16,362.14,https://pcpartpicker.com/product/FRFKHx/seagate-exos-x16-14-tb-35-7200rpm-internal-hard-drive-st14000nm003g,14000,0.026,7200,256,3.5,SATA 6.0 Gb/s
Samsung MZ-75E4T0B,628.17,https://pcpartpicker.com/product/kTYWGX/samsung-850-evo-4tb-25-solid-state-drive-mz-75e4t0bam,4000,0.157,SSD,4096,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,69,https://pcpartpicker.com/product/VhXfrH/seagate-internal-hard-drive-st310005n1a1asrk,1000,0.069,7200,64,3.5,SATA 3.0 Gb/s
ADATA XPG GAMMIX S60 Blade,,https://pcpartpicker.com/product/KrfxFT/adata-xpg-gammix-s60-blade-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-agammixs60-512g-cs,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston SSDNow S100,,https://pcpartpicker.com/product/L3phP6/kingston-internal-hard-drive-ss100s216g,16,,SSD,,2.5,SATA 3.0 Gb/s
Seagate NAS HDD,,https://pcpartpicker.com/product/ZXL7YJ/seagate-internal-hard-drive-st2000vn001,2000,,5400,64,3.5,SATA 6.0 Gb/s
FanXiang S101,119.99,https://pcpartpicker.com/product/ynYRsY/fanxiang-s101-2-tb-25-solid-state-drive-s101-2tb,2000,0.06,SSD,,2.5,SATA 6.0 Gb/s
PNY CS1030,125,https://pcpartpicker.com/product/74yqqs/pny-cs1030-2-tb-m2-2280-nvme-solid-state-drive-m280cs1030-2tb-rb,2000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-FORCE G50,49.99,https://pcpartpicker.com/product/vF3NnQ/teamgroup-t-force-g50-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffe512g0c129,512,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green,89.99,https://pcpartpicker.com/product/rJhKHx/western-digital-green-1-tb-25-solid-state-drive-wds100t2g0a,1000,0.09,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red,,https://pcpartpicker.com/product/4fvZxr/western-digital-internal-hard-drive-wd80efzx,8000,,5400,128,3.5,SATA 6.0 Gb/s
ADATA XPG SPECTRIX S20G,99.2,https://pcpartpicker.com/product/J6ytt6/adata-xpg-spectrix-s20g-1-tb-m2-2280-nvme-solid-state-drive-aspectrixs20g-1t-c,1000,0.099,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,319.99,https://pcpartpicker.com/product/6Y9tt6/western-digital-gold-14-tb-35-7200rpm-internal-hard-drive-wd141kryz,14000,0.023,7200,512,3.5,SATA 6.0 Gb/s
Western Digital Purple,72.98,https://pcpartpicker.com/product/WyTp99/western-digital-purple-2-tb-35-5400rpm-internal-hard-drive-wd22purz,2000,0.036,5400,256,3.5,SATA 6.0 Gb/s
Western Digital Red,129.99,https://pcpartpicker.com/product/rkV48d/western-digital-internal-hard-drive-wd40efrx,4000,0.032,5400,64,3.5,SATA 6.0 Gb/s
ADATA LEGEND 700,,https://pcpartpicker.com/product/s93gXL/adata-legend-700-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-aleg-700-512gcs,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,57.91,https://pcpartpicker.com/product/FMvbt6/western-digital-purple-1tb-35-5400rpm-internal-hard-drive-wd10purz,1000,0.058,5400,64,3.5,SATA 6.0 Gb/s
ADATA Legend 850,,https://pcpartpicker.com/product/rcwypg/adata-legend-850-1-tb-m2-2280-nvme-solid-state-drive-aleg-850-1tcs,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda,,https://pcpartpicker.com/product/n28H99/seagate-firecuda-1tb-35-7200rpm-hybrid-internal-hard-drive-st1000dx002,1000,,,64,3.5,SATA 6.0 Gb/s
SanDisk Ultra 3D,,https://pcpartpicker.com/product/8gRFf7/sandisk-ultra-3d-2tb-25-solid-state-drive-sdssdh3-2t00-g25,2000,,SSD,,2.5,SATA 6.0 Gb/s
Patriot Burst,,https://pcpartpicker.com/product/9xtQzy/patriot-burst-240gb-25-solid-state-drive-pbu240gs25ssdr,240,,SSD,,2.5,SATA 6.0 Gb/s
Inland Premium,,https://pcpartpicker.com/product/BNpmP6/inland-premium-512-gb-m2-2280-nvme-solid-state-drive-512gb-nvme-prem,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda 510,,https://pcpartpicker.com/product/LZQfrH/seagate-barracuda-510-500-gb-m2-2280-nvme-solid-state-drive-zp500cm3a001,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M371,,https://pcpartpicker.com/product/PKJgXL/msi-spatium-m371-500-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-spatium-m371-500gb,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Hitachi Ultrastar 7K4000,,https://pcpartpicker.com/product/cKH48d/hitachi-internal-hard-drive-0b26886,3000,,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Blue SA510,52.99,https://pcpartpicker.com/product/x8cG3C/western-digital-blue-sa510-500-gb-m2-2280-solid-state-drive-wds500g3b0b,500,0.106,SSD,,M.2-2280,M.2 SATA
Lexar NS100,64.98,https://pcpartpicker.com/product/hrNxFT/lexar-ns100-1-tb-25-solid-state-drive-lns100-1trbna,1000,0.065,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Purple Pro,462,https://pcpartpicker.com/product/YYvdnQ/western-digital-purple-pro-22-tb-35-7200rpm-internal-hard-drive-wd221purp,22000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Seagate ST1000DX001,,https://pcpartpicker.com/product/ftPfrH/seagate-internal-hard-drive-st1000dx001,1000,,,64,3.5,SATA 6.0 Gb/s
Seagate Barracuda XT,,https://pcpartpicker.com/product/K4Lypg/seagate-internal-hard-drive-st33000651as,3000,,7200,64,3.5,SATA 6.0 Gb/s
Inland Platinum,64.98,https://pcpartpicker.com/product/Pp6p99/inland-platinum-1024-tb-25-solid-state-drive-618996739332,1024,0.063,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN850P for PS5,114.99,https://pcpartpicker.com/product/vdqrxr/western-digital-wd_black-sn850p-for-ps5-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wdbbyv0010bnc-wrsn,1000,0.115,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Black,168.9,https://pcpartpicker.com/product/gV8Zxr/western-digital-internal-hard-drive-wd1002faex,1000,0.169,7200,64,3.5,SATA 6.0 Gb/s
Corsair MP600 PRO,104.99,https://pcpartpicker.com/product/9txbt6/corsair-mp600-pro-1-tb-m2-2280-nvme-solid-state-drive-cssd-f1000gbmp600pro,1000,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300 Pro,190.29,https://pcpartpicker.com/product/vQrRsY/toshiba-x300-pro-10-tb-35-7200rpm-internal-hard-drive-hdwr51axzstb,10000,0.019,7200,512,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,95.99,https://pcpartpicker.com/product/RT8bt6/seagate-ironwolf-nas-3-tb-35-5400-rpm-internal-hard-drive-st3000vn006,3000,0.032,5400,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-FORCE Z44A7,,https://pcpartpicker.com/product/jhwmP6/teamgroup-t-force-z44a7-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpv004t0c129,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,299.99,https://pcpartpicker.com/product/TytKHx/kingston-a400-192-tb-25-solid-state-drive-sa400s371920g,1920,0.156,SSD,,2.5,SATA 6.0 Gb/s
Intel 760p,79.98,https://pcpartpicker.com/product/qxc48d/intel-760p-series-256gb-m2-2280-solid-state-drive-ssdpekkw256g8xt,256,0.312,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5,,https://pcpartpicker.com/product/sCn8TW/crucial-p5-500-gb-m2-2280-nvme-solid-state-drive-ct500p5ssd8,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P1,,https://pcpartpicker.com/product/bNjNnQ/crucial-p1-2-tb-m2-2280-nvme-solid-state-drive-ct2000p1ssd8,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KingSpec P3,,https://pcpartpicker.com/product/BJKKHx/kingspec-p3-512-gb-25-solid-state-drive-p3-512gb,512,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,295.49,https://pcpartpicker.com/product/xwytt6/western-digital-ultrastar-dc-hc550-16-tb-35-7200rpm-internal-hard-drive-0f38462,16000,0.018,7200,512,3.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO,49.99,https://pcpartpicker.com/product/vF7G3C/lexar-professional-nm800pro-512-gb-m2-2280-nvme-solid-state-drive-lnm800p512g-rnnng,512,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG04ACA400N,99,https://pcpartpicker.com/product/sDK2FT/toshiba-mg04aca400n-4-tb-35-7200rpm-internal-hard-drive-mg04aca400n,4000,0.025,7200,128,3.5,SATA 6.0 Gb/s
Nextorage NEM-PAB,139.99,https://pcpartpicker.com/product/GKjRsY/nextorage-nem-pab-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-nem-pab2tbn-sym,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Hitachi Ultrastar SN260,309.99,https://pcpartpicker.com/product/Lx448d/hitachi-ultrastar-sn260-16-tb-pci-e-nvme-solid-state-drive-0ts1305,1600,0.194,SSD,,PCIe,PCIe x8
Seagate BarraCuda,32,https://pcpartpicker.com/product/W7dFf7/seagate-barracuda-500gb-25-5400rpm-internal-hard-drive-st500lm030,500,0.064,5400,128,2.5,SATA 6.0 Gb/s
Intel DC P3600,1850,https://pcpartpicker.com/product/MxFXsY/intel-dc-p3600-800-gb-pci-e-nvme-solid-state-drive-ssdpedme800g401,800,2.312,SSD,,PCIe,PCIe x4
Western Digital Green,99.99,https://pcpartpicker.com/product/f697YJ/western-digital-green-480-gb-m2-2280-solid-state-drive-wds480g2g0b,480,0.208,SSD,,M.2-2280,M.2 SATA
Seagate SkyHawk,83.19,https://pcpartpicker.com/product/KrzZxr/seagate-skyhawk-1tb-35-5900rpm-internal-hard-drive-st1000vx005,1000,0.083,5900,64,3.5,SATA 6.0 Gb/s
Mushkin Gamma,937.98,https://pcpartpicker.com/product/RRGhP6/mushkin-gamma-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mknssdga8tb-d8,8000,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lenovo S4520,285.43,https://pcpartpicker.com/product/tqsV3C/lenovo-s4520-960-gb-35-solid-state-drive-4xb7a17120,960,0.297,SSD,,3.5,SATA 6.0 Gb/s
Acer SA100,19.98,https://pcpartpicker.com/product/WzvdnQ/acer-sa100-240-gb-25-solid-state-drive-bl9bwwa102,240,0.083,SSD,,2.5,SATA 6.0 Gb/s
Samsung Spinpoint F3,,https://pcpartpicker.com/product/FBR48d/samsung-internal-hard-drive-hd103sj,1000,,7200,32,3.5,SATA 3.0 Gb/s
Western Digital AV-GP,18.98,https://pcpartpicker.com/product/NLZQzy/western-digital-internal-hard-drive-wd2500avcs,250,0.076,5400,16,3.5,SATA 3.0 Gb/s
Seagate ST2000DX001,,https://pcpartpicker.com/product/tR2kcf/seagate-internal-hard-drive-st2000dx001,2000,,,64,3.5,SATA 6.0 Gb/s
Samsung MZVPV256HDGL-00000,,https://pcpartpicker.com/product/ZmgPxr/samsung-256-gb-m2-2280-nvme-solid-state-drive-mzvpv256hdgl-00000,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A1000,,https://pcpartpicker.com/product/FVfhP6/kingston-a1000-240gb-m2-2280-solid-state-drive-sa1000m8240g,240,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Verbatim Vi550,128.88,https://pcpartpicker.com/product/JhndnQ/verbatim-vi550-1-tb-25-solid-state-drive-70077,1000,0.129,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP EX2,30.99,https://pcpartpicker.com/product/g9xbt6/team-ex2-512-gb-25-solid-state-drive-t253e2512g0c101,512,0.061,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-FORCE G70 PRO Aluminum,269.99,https://pcpartpicker.com/product/9Yhv6h/teamgroup-t-force-g70-pro-aluminum-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffh004t0c128,4000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Black,100,https://pcpartpicker.com/product/7VmxFT/western-digital-caviar-black-4tb-35-7200rpm-internal-hard-drive-wd4004fzwx,4000,0.025,7200,128,3.5,SATA 6.0 Gb/s
Verbatim Vi7000G,242,https://pcpartpicker.com/product/XpWJ7P/verbatim-vi7000g-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-49369,4000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,54.88,https://pcpartpicker.com/product/w27v6h/western-digital-blue-250gb-m2-2280-solid-state-drive-wds250g2b0b,250,0.22,SSD,,M.2-2280,M.2 SATA
Corsair MP300,,https://pcpartpicker.com/product/vLBTwP/corsair-mp300-120gb-m2-2280-solid-state-drive-cssd-f120gbmp300,120,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Western Digital Red,168,https://pcpartpicker.com/product/GCNv6h/western-digital-red-6-tb-35-5400rpm-internal-hard-drive-wd60efax,6000,0.028,5400,256,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,,https://pcpartpicker.com/product/LzrG3C/western-digital-internal-hard-drive-wd10eacs,1000,,5400,16,3.5,SATA 3.0 Gb/s
Micron 5400 Pro eSSC,1550,https://pcpartpicker.com/product/VQvD4D/micron-5400-pro-essc-768-tb-25-solid-state-drive-mtfddak7t6tga-1bc16abyy,7680,0.202,SSD,,2.5,SATA 6.0 Gb/s
SanDisk Solid State Drive,,https://pcpartpicker.com/product/LCTmP6/sandisk-internal-hard-drive-sdssdp256gg25,256,,SSD,,2.5,SATA 6.0 Gb/s
Kingston HyperX Fury,,https://pcpartpicker.com/product/TqYXsY/kingston-internal-hard-drive-shfs37a240g,240,,SSD,,2.5,SATA 6.0 Gb/s
Kingston Predator,,https://pcpartpicker.com/product/kwVBD3/kingston-predator-240-gb-m2-2280-nvme-solid-state-drive-shpm2280p2240g,240,,SSD,,M.2-2280,M.2 PCIe 2.0 X4
ADATA Ultimate SU750,145.52,https://pcpartpicker.com/product/R4CFf7/adata-ultimate-su750-256-gb-25-solid-state-drive-asu750ss-256gt-c,256,0.568,SSD,,2.5,SATA 6.0 Gb/s
Apacer AS340 PANTHER,,https://pcpartpicker.com/product/GHhFf7/apacer-as340-panther-240-gb-25-solid-state-drive-ap240gas340g-1,240,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,65,https://pcpartpicker.com/product/6wdqqs/seagate-internal-hard-drive-st4000nm0023,4000,0.016,7200,128,3.5,SAS 6.0 Gb/s
Leven JS600,91.99,https://pcpartpicker.com/product/wjTp99/leven-js600-2-tb-25-solid-state-drive-js600ssd2tb,2000,0.046,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Gold,266.99,https://pcpartpicker.com/product/WxsnTW/western-digital-gold-10-tb-35-7200rpm-internal-hard-drive-wd102kryz,10000,0.027,7200,256,3.5,SATA 6.0 Gb/s
Seagate FireCuda 530R w/Heatsink,139.99,https://pcpartpicker.com/product/HVJp99/seagate-firecuda-530r-wheatsink-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-zp2000gm3a073,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf 125,529.99,https://pcpartpicker.com/product/93pzK8/seagate-ironwolf-125-4-tb-25-solid-state-drive-za4000nm1a002,4000,0.132,SSD,,2.5,SATA 6.0 Gb/s
Western Digital SanDisk Extreme,,https://pcpartpicker.com/product/cNFmP6/western-digital-sandisk-extreme-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sdssdx3n-2t00-g26,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intenso 3812440,22.75,https://pcpartpicker.com/product/bTDJ7P/intenso-256gb-25-solid-state-drive-3812440,256,0.089,SSD,,2.5,SATA 6.0 Gb/s
Sabrent Rocket,119.99,https://pcpartpicker.com/product/ZhkWGX/sabrent-rocket-1-tb-m2-2242-nvme-solid-state-drive-sb-1342-1tb,1000,0.12,SSD,,M.2-2242,M.2 PCIe 3.0 X4
Hitachi HDS723030ALA640,72.78,https://pcpartpicker.com/product/9RvZxr/hitachi-deskstar-3tb-35-7200rpm-internal-hard-drive-0f12450,3000,0.024,7200,64,3.5,SATA 6.0 Gb/s
Toshiba HDKCC00,,https://pcpartpicker.com/product/LZBTwP/toshiba-500-gb-25-7200rpm-internal-hard-drive-hdkcc00,500,,7200,16,2.5,SATA 6.0 Gb/s
Seagate Barracuda PCIe,,https://pcpartpicker.com/product/QMKscf/seagate-barracuda-pcie-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-zp1000cv3a002,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,139,https://pcpartpicker.com/product/WzNypg/western-digital-internal-hard-drive-wd10j31x,1000,0.139,,64,2.5,SATA 6.0 Gb/s
Timetec 30TT253X2,27.99,https://pcpartpicker.com/product/JyGbt6/timetec-30tt253x2-512-gb-25-solid-state-drive-30tt253x2-512gb,512,0.055,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM610PRO,,https://pcpartpicker.com/product/YC88TW/lexar-nm610pro-2-tb-m2-2280-pcie-30-x4-nvme-solid-state-drive-lnm610p002t-rnnng,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial M4,,https://pcpartpicker.com/product/YmMFf7/crucial-internal-hard-drive-ct256m4ssd2,256,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba HDD3B04,,https://pcpartpicker.com/product/jM9KHx/toshiba-internal-hard-drive-hdd3b04,1000,,7200,64,3.5,SAS 6.0 Gb/s
Micron 2200,,https://pcpartpicker.com/product/KfYLrH/micron-2200-512-gb-m2-2280-nvme-solid-state-drive-mtfdhba512tck-1as1aa,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M450,,https://pcpartpicker.com/product/p3mNnQ/msi-spatium-m450-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sm450n2tb,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intenso High Performance,33.36,https://pcpartpicker.com/product/G7vqqs/intenso-high-performance-480-gb-25-solid-state-drive-3813450,480,0.07,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM1090 w/ Heatsink,264.99,https://pcpartpicker.com/product/6yP8TW/lexar-nm1090-w-heatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-lnm1090002t-rnanu,2000,0.132,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Toshiba N300,164.99,https://pcpartpicker.com/product/TrZ9TW/toshiba-n300-8-tb-35-7200rpm-internal-hard-drive-hdwg480xzsta,8000,0.021,7200,256,3.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN850P for PS5,349.99,https://pcpartpicker.com/product/hFP8TW/western-digital-wd_black-sn850p-for-ps5-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wdbbyv0040bnc-wrsn,4000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate ST500VT000,,https://pcpartpicker.com/product/CKZ2FT/seagate-500gb-25-5400rpm-internal-hard-drive-st500vt000,500,,5400,16,2.5,SATA 3.0 Gb/s
Leven JS600,28.99,https://pcpartpicker.com/product/GHcG3C/leven-js600-512-gb-25-solid-state-drive-js600ssd512gb,512,0.057,SSD,,2.5,SATA 6.0 Gb/s
Acer FA100,31.99,https://pcpartpicker.com/product/NtGbt6/acer-fa100-256-gb-m2-2280-nvme-solid-state-drive-bl9bwwa118,256,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro NAS,249,https://pcpartpicker.com/product/w7RwrH/seagate-ironwolf-pro-nas-14-tb-35-7200-rpm-internal-hard-drive-st14000nt001,14000,0.018,7200,256,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,91,https://pcpartpicker.com/product/kxprxr/seagate-barracuda-compute-2-tb-35-5400rpm-internal-hard-drive-st2000dm005,2000,0.045,5400,256,3.5,SATA 6.0 Gb/s
PNY CS3140,419.84,https://pcpartpicker.com/product/4P92FT/pny-cs3140-4-tb-m2-2280-nvme-solid-state-drive-m280cs3140-4tb-rb,4000,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,164,https://pcpartpicker.com/product/gJfmP6/western-digital-internal-hard-drive-wd60ezrz,6000,0.027,5400,64,3.5,SATA 6.0 Gb/s
ADATA SU630,74.45,https://pcpartpicker.com/product/kqDJ7P/adata-su630-960-gb-25-solid-state-drive-asu630ss-960gq-r,960,0.078,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SN550,,https://pcpartpicker.com/product/zNK2FT/western-digital-blue-sn550-2-tb-m2-2280-nvme-solid-state-drive-wds200t2b0c,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,194.99,https://pcpartpicker.com/product/z2mFf7/western-digital-gold-6-tb-35-7200rpm-internal-hard-drive-wd6003fryz,6000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Red,262.5,https://pcpartpicker.com/product/KGhmP6/western-digital-red-10-tb-35-5400rpm-internal-hard-drive-wd101efax,10000,0.026,5400,256,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,138.96,https://pcpartpicker.com/product/gdVD4D/seagate-barracuda-compute-6-tb-35-7200rpm-internal-hard-drive-st6000dmz03,6000,0.023,5400,256,3.5,SATA 6.0 Gb/s
ADATA LEGEND 700,,https://pcpartpicker.com/product/cJYmP6/adata-legend-700-256-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-aleg-700-256gcs,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,,https://pcpartpicker.com/product/2pfp99/western-digital-internal-hard-drive-wd40ezrx,4000,,5900,64,3.5,SATA 6.0 Gb/s
Kingston HyperX Fury,,https://pcpartpicker.com/product/ZvLypg/kingston-internal-hard-drive-shfs37a120g,120,,SSD,,2.5,SATA 6.0 Gb/s
KingSpec NE-2280,,https://pcpartpicker.com/product/8vrRsY/kingspec-ne-2280-1-tb-m2-2280-nvme-solid-state-drive-ne-2280-1tb,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,52.99,https://pcpartpicker.com/product/NNK7YJ/western-digital-blue-2-tb-35-5900rpm-internal-hard-drive-wdbh2d0020hnc-nrsn,2000,0.026,5400,64,3.5,SATA 6.0 Gb/s
Western Digital Gold,379.99,https://pcpartpicker.com/product/qy2bt6/western-digital-gold-18-tb-35-7200rpm-internal-hard-drive-wd181kryz,18000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Corsair MP600 CORE,220.33,https://pcpartpicker.com/product/RgTzK8/corsair-mp600-core-1-tb-m2-2280-nvme-solid-state-drive-cssd-f1000gbmp600cor,1000,0.22,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,79.98,https://pcpartpicker.com/product/JNYRsY/western-digital-red-plus-2-tb-35-5400-rpm-internal-hard-drive-wd20efpx,2000,0.04,5400,64,3.5,SATA 6.0 Gb/s
Transcend 830S,419.99,https://pcpartpicker.com/product/GF3NnQ/transcend-830s-4-tb-m2-2280-sata-solid-state-drive-ts4tmts830s,4000,0.105,SSD,,M.2-2280,M.2 SATA
SanDisk EXTREME PRO,178.57,https://pcpartpicker.com/product/4YRzK8/sandisk-extreme-pro-1tb-m2-2280-solid-state-drive-sdssdxpm2-1t00-g25,1000,0.179,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black AN1500,,https://pcpartpicker.com/product/j9VG3C/western-digital-black-an1500-2-tb-pcie-nvme-solid-state-drive-wds200t1x0l,2000,,SSD,,PCIe,PCIe x8
Crucial BX100,,https://pcpartpicker.com/product/MkL7YJ/crucial-internal-hard-drive-ct250bx100ssd1,250,,SSD,,2.5,SATA 6.0 Gb/s
Crucial BX100,,https://pcpartpicker.com/product/NCJkcf/crucial-internal-hard-drive-ct500bx100ssd1,500,,SSD,,2.5,SATA 6.0 Gb/s
Samsung SM951,,https://pcpartpicker.com/product/Br7CmG/samsung-internal-hard-drive-mzhpv128hdgm00000,128,,SSD,256,M.2-2280,M.2 PCIe 3.0 X4
Seagate NAS HDD,,https://pcpartpicker.com/product/ZqmxFT/seagate-internal-hard-drive-st8000vn0002,8000,,7200,256,3.5,SATA 6.0 Gb/s
Toshiba OCZ TR200,27.99,https://pcpartpicker.com/product/PCBrxr/toshiba-ocz-tr200-240gb-25-solid-state-drive-thn-tr20z2400u8cs,240,0.117,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP510,255.72,https://pcpartpicker.com/product/L7Jtt6/corsair-mp510-19tb-m2-2280-solid-state-drive-cssd-f1920gbmp510,1920,0.133,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA Ultimate SU750,,https://pcpartpicker.com/product/9KZzK8/adata-ultimate-su750-512-gb-25-solid-state-drive-asu750ss-512gt-c,512,,SSD,,2.5,SATA 6.0 Gb/s
