name,price,href,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital WD_Black SN850X,304.99,https://pcpartpicker.com/product/yBC48d/western-digital-black-sn850x-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds400t2x0e,4000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,234.59,https://pcpartpicker.com/product/PPpzK8/crucial-p3-plus-4-tb-m2-2280-nvme-solid-state-drive-ct4000p3pssd8,4000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,107.99,https://pcpartpicker.com/product/2VJgXL/teamgroup-mp44l-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpk002t0c101,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,1188.98,https://pcpartpicker.com/product/CTTp99/sabrent-rocket-4-plus-8-tb-m2-2280-nvme-solid-state-drive-sb-rkt4p-8tb,8000,0.149,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,57.99,https://pcpartpicker.com/product/64MTwP/team-mp33-1-tb-m2-2280-nvme-solid-state-drive-tm8fp6001t0c101,1000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo Plus,154.85,https://pcpartpicker.com/product/Fv8j4D/samsung-970-evo-plus-2-tb-m2-2280-nvme-solid-state-drive-mz-v7s2t0bam,2000,0.077,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,38,https://pcpartpicker.com/product/MwW9TW/western-digital-internal-hard-drive-wd10ezex,1000,0.038,7200,64,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,164.99,https://pcpartpicker.com/product/3CmmP6/samsung-870-evo-2-tb-25-solid-state-drive-mz-77e2t0bam,2000,0.082,SSD,2048,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33,96.99,https://pcpartpicker.com/product/C3xbt6/team-mp33-2-tb-m2-2280-nvme-solid-state-drive-tm8fp6002t0c101,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,98.97,https://pcpartpicker.com/product/f4cG3C/silicon-power-ud90-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp02kgbp44ud9005,2000,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,117,https://pcpartpicker.com/product/266NnQ/western-digital-blue-sn580-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds200t3b0e,2000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,620.63,https://pcpartpicker.com/product/7Qvqqs/samsung-870-qvo-8-tb-25-solid-state-drive-mz-77q8t0bam,8000,0.078,SSD,,2.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,,https://pcpartpicker.com/product/TwWfrH/samsung-970-evo-plus-500-gb-m2-2280-nvme-solid-state-drive-mz-v7s500bam,500,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705,484.99,https://pcpartpicker.com/product/67FmP6/crucial-t705-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t705ssd3,4000,0.121,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Acer Predator GM7000,136.99,https://pcpartpicker.com/product/Mjstt6/acer-predator-gm7000-2-tb-m2-2280-nvme-solid-state-drive-bl9bwwr106,2000,0.068,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,39.99,https://pcpartpicker.com/product/XKt9TW/crucial-p3-500-gb-m2-2280-nvme-solid-state-drive-ct500p3ssd8,500,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC3000,153.27,https://pcpartpicker.com/product/sJPQzy/kingston-kc3000-2048-tb-m2-2280-nvme-solid-state-drive-skc3000d2048g,2048,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,46.29,https://pcpartpicker.com/product/44Gj4D/seagate-barracuda-1tb-35-7200rpm-internal-hard-drive-st1000dm010,1000,0.046,7200,64,3.5,SATA 6.0 Gb/s
SK Hynix Platinum P41,140,https://pcpartpicker.com/product/yGTp99/sk-hynix-platinum-p41-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-shpp41-2000gm-2,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,40.99,https://pcpartpicker.com/product/vPpzK8/crucial-p3-plus-500-gb-m2-2280-nvme-solid-state-drive-ct500p3pssd8,500,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,74.98,https://pcpartpicker.com/product/mKBG3C/samsung-980-1-tb-m2-2280-nvme-solid-state-drive-mz-v8v1t0bam,1000,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,309.99,https://pcpartpicker.com/product/RBD7YJ/samsung-870-evo-4-tb-25-solid-state-drive-mz-77e4t0bam,4000,0.077,SSD,4096,2.5,SATA 6.0 Gb/s
Kingston A400,24.99,https://pcpartpicker.com/product/btDzK8/kingston-a400-240gb-25-solid-state-drive-sa400s37240g,240,0.104,SSD,,2.5,SATA 6.0 Gb/s
Crucial T700,349.99,https://pcpartpicker.com/product/xhkH99/crucial-t700-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct4000t700ssd3,4000,0.087,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 870 Evo,52.99,https://pcpartpicker.com/product/mRpmP6/samsung-870-evo-500-gb-25-solid-state-drive-mz-77e500bam,500,0.106,SSD,512,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,126.89,https://pcpartpicker.com/product/qLRzK8/seagate-barracuda-compute-8-tb-35-7200rpm-internal-hard-drive-st8000dmz04,8000,0.016,5400,256,3.5,SATA 6.0 Gb/s
Toshiba MK3276GSX,9.98,https://pcpartpicker.com/product/skMFf7/toshiba-internal-hard-drive-mk3276gsx,320,0.031,5400,8,2.5,SATA 3.0 Gb/s
Lexar NM790,134.99,https://pcpartpicker.com/product/TspQzy/lexar-nm790-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x002t-rnnng,2000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot Viper VP4300 Lite,104.99,https://pcpartpicker.com/product/BqP8TW/patriot-viper-vp4300-lite-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-vp4300l2tbm28h,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,53.97,https://pcpartpicker.com/product/7tCFf7/silicon-power-a60-1-tb-m2-2280-nvme-solid-state-drive-sp001tbp34a60m28,1000,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,139.99,https://pcpartpicker.com/product/mVwmP6/crucial-t700-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct1000t700ssd3,1000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
