name,price,href,chipset,memory,core_clock,boost_clock,color,length
XFX HD-435X-YAH2,,https://pcpartpicker.com/product/MZyFf7/xfx-video-card-hd435xyah2,Radeon HD 4350,0.5,600,,Black,
ASRock OC Formula,,https://pcpartpicker.com/product/tH2WGX/asrock-radeon-rx-6900-xt-16-gb-oc-formula-video-card-rx6900xt-ocf-16g,Radeon RX 6900 XT,16,2125,2475,Silver / Black,332
Asus DUAL,,https://pcpartpicker.com/product/MtDkcf/asus-geforce-rtx-3070-8-gb-dual-video-card-dual-rtx3070-8g,GeForce RTX 3070,8,1500,1755,Black,267
Asus RX560-4G,,https://pcpartpicker.com/product/J698TW/asus-radeon-rx-560-4gb-video-card-rx560-4g,Radeon RX 560 - 1024,4,1175,,Black / Red,220
Asus TUF GAMING,,https://pcpartpicker.com/product/DgMTwP/asus-geforce-rtx-3080-10-gb-tuf-gaming-video-card-tuf-rtx3080-10g-gaming,GeForce RTX 3080 10GB,10,1440,1740,Black,300
MSI VENTUS 3X OC,,https://pcpartpicker.com/product/GMBhP6/msi-ventus-3x-oc-geforce-rtx-3060-ti-8-gb-video-card-rtx-3060-ti-ventus-3x-oc,GeForce RTX 3060 Ti,8,1410,1695,Black / Silver,316
Asus DUAL,609,https://pcpartpicker.com/product/N4dG3C/asus-dual-geforce-rtx-4070-12-gb-video-card-dual-rtx4070-12g-white,GeForce RTX 4070,12,2475,2505,White,267
Palit JetStream,567.73,https://pcpartpicker.com/product/jg4Zxr/palit-jetstream-geforce-rtx-4060-ti-16-gb-video-card-ne6406t019t1-1061j,GeForce RTX 4060 Ti,16,2310,2535,Black,250
Gigabyte GAMING OC,1239,https://pcpartpicker.com/product/VpJgXL/gigabyte-geforce-rtx-3080-12gb-lhr-12-gb-gaming-oc-video-card-gv-n3080gaming-oc-12gd,GeForce RTX 3080 12GB LHR,12,1260,1755,Black / Silver,320
Asus STRIX-GTX960-DC2OC-2GD5,,https://pcpartpicker.com/product/G8dFf7/asus-video-card-strixgtx960dc2oc2gd5,GeForce GTX 960,2,1228,1291,Black,215
GALAX EX (1-Click OC),,https://pcpartpicker.com/product/7QRwrH/galax-ex-1-click-oc-geforce-rtx-4060-8-gb-video-card-46nsl8md8nwe,GeForce RTX 4060,8,1830,2580,White,251
Gigabyte GAMING OC PRO,376.79,https://pcpartpicker.com/product/BBxRsY/gigabyte-radeon-rx-6600-xt-8-gb-gaming-oc-pro-video-card-gv-r66xtgamingoc-pro-8gd,Radeon RX 6600 XT,8,1968,2607,Black / Silver,282
Asus TUF GAMING OC,339,https://pcpartpicker.com/product/DnjBD3/asus-geforce-gtx-1650-g6-4-gb-tuf-gaming-oc-video-card-tuf-gtx1650-o4gd6-gaming,GeForce GTX 1650 G6,4,1410,1680,Black,204
Gigabyte AORUS XTREME,1499,https://pcpartpicker.com/product/G3xbt6/gigabyte-geforce-rtx-3090-24-gb-aorus-xtreme-video-card-gv-n3090aorus-x-24gd,GeForce RTX 3090,24,1395,1860,Black,319
Gainward Ghost,,https://pcpartpicker.com/product/frVmP6/gainward-geforce-rtx-3060-12-gb-ghost-video-card-ne63060019k9-190au,GeForce RTX 3060 12GB,12,1320,1777,Black,245
Gigabyte EAGLE OC,349.57,https://pcpartpicker.com/product/gmvdnQ/gigabyte-geforce-rtx-3050-8gb-8-gb-eagle-oc-video-card-gv-n3050eagle-oc-8gd,GeForce RTX 3050 8GB,8,1550,1792,Black,213
MSI GeForce GTX 1650 SUPER,,https://pcpartpicker.com/product/R8H8TW/msi-geforce-gtx-1650-super-4-gb-aero-itx-oc-video-card-gtx-1650-super-aero-itx-oc,GeForce GTX 1650 SUPER,4,1530,1740,Black / White,175
GALAX (1-click OC),,https://pcpartpicker.com/product/cPstt6/galax-geforce-rtx-3060-12-gb-1-click-oc-video-card-36nol7md1voc,GeForce RTX 3060 12GB,12,1320,1792,Black,256
Gigabyte EAGLE,,https://pcpartpicker.com/product/Fr8bt6/gigabyte-radeon-rx-6650-xt-8-gb-eagle-video-card-gv-r665xteagle-8gd,Radeon RX 6650 XT,8,2055,2635,Black / Silver,282
