name,price,href,type,efficiency,wattage,modular,color
SHARKOON SilentStorm,276.57,https://pcpartpicker.com/product/BpF48d/sharkoon-silentstorm-500w-80-gold-certified-fully-modular-sfx-power-supply-4044951016419,SFX,gold,500,Full,Black
Thermaltake Smart RGB,,https://pcpartpicker.com/product/RwVD4D/thermaltake-smart-rgb-700w-80-certified-atx-power-supply-ps-spr-0700nhfawu-1,ATX,plus,700,false,
Antec NE1300G M ATX3.0,186.56,https://pcpartpicker.com/product/wJgrxr/antec-ne1300g-m-atx30-1300-w-80-gold-certified-fully-modular-atx-power-supply-ne1300g-m-atx30,ATX,gold,1300,Full,Black
Thermaltake Toughpower PF3-L,229.99,https://pcpartpicker.com/product/Zqhv6h/thermaltake-toughpower-pf3-l-1200-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-1200fnfapu-l,ATX,platinum,1200,Full,Black
Thermaltake Toughpower,,https://pcpartpicker.com/product/3wGkcf/thermaltake-power-supply-pstpd0650mpcgus1,ATX,gold,650,Semi,
Silverstone DA850R-GMA,,https://pcpartpicker.com/product/3BJp99/silverstone-da850r-gma-850-w-80-gold-certified-fully-modular-atx-power-supply-sst-da850r-gma-www,ATX,gold,850,Full,White
Cooler Master MasterWatt 550,,https://pcpartpicker.com/product/B6XnTW/cooler-master-masterwatt-550w-80-bronze-certified-semi-modular-atx-power-supply-mpx-5501-amaab-us,ATX,bronze,550,Semi,
In Win P85FII,,https://pcpartpicker.com/product/VHLdnQ/in-win-p85fii-850-w-80-gold-certified-atx-power-supply-iw-ps-pfii850w,ATX,gold,850,false,Black / Yellow
In Win IP-S200DF1-0,52.02,https://pcpartpicker.com/product/Hxzv6h/inwin-power-supply-ips200df10,TFX,,200,false,
Corsair AX760,375,https://pcpartpicker.com/product/Yhbp99/corsair-ax760-760-w-80-platinum-certified-fully-modular-atx-power-supply-ax760,ATX,platinum,760,Full,
KOLINK ENCLAVE,,https://pcpartpicker.com/product/TFkH99/kolink-enclave-700-w-80-gold-certified-fully-modular-atx-power-supply-pgw-ps-kol-018,ATX,gold,700,Full,Black
KOLINK Core,,https://pcpartpicker.com/product/cB3NnQ/kolink-core-600-w-80-certified-atx-power-supply-kl-c600,ATX,plus,600,false,Black
EVGA SuperNOVA 1000 G3,389.99,https://pcpartpicker.com/product/JBzZxr/evga-supernova-1000-g3-1000-w-80-gold-certified-fully-modular-atx-power-supply-220-g3-1000,ATX,gold,1000,Full,
GameMax GP,,https://pcpartpicker.com/product/F27p99/gamemax-gp-650-w-80-bronze-certified-atx-power-supply-gp-650,ATX,bronze,650,false,Black
Enhance ENP-7660,,https://pcpartpicker.com/product/YXm323/enhance-600-w-80-platinum-certified-flex-atx-power-supply-enp-7660,Flex ATX,platinum,600,false,Silver
be quiet! Straight Power 11 1000W,242.57,https://pcpartpicker.com/product/VrrmP6/be-quiet-straight-power-11-1000w-80-gold-certified-fully-modular-atx-power-supply-bn285,ATX,gold,1000,Full,
"FSP Group Hydro PTM X PRO,Gen5",159.99,https://pcpartpicker.com/product/H4ZXsY/fsp-group-hydro-ptm-x-progen5-850-w-80-platinum-certified-fully-modular-atx-power-supply-hpt3-850m-g5,ATX,platinum,850,Full,Black
EVGA SuperNOVA 1000 P5,209.99,https://pcpartpicker.com/product/6PhFf7/evga-p5-1000-w-80-platinum-certified-fully-modular-atx-power-supply-220-p5-1000-x1,ATX,platinum,1000,Full,Blue / Black
Mars Gaming MPIII750,,https://pcpartpicker.com/product/NVxxFT/mars-gaming-mpiii750-750-w-atx-power-supply-mpiii750,ATX,,750,false,Black
Antec CSK,89.73,https://pcpartpicker.com/product/mdLFf7/antec-csk-650-w-80-bronze-certified-atx-power-supply-csk650,ATX,bronze,650,false,Black / Yellow
Corsair AX860,,https://pcpartpicker.com/product/B9kD4D/corsair-ax860-860-w-80-platinum-certified-fully-modular-atx-power-supply-ax860,ATX,platinum,860,Full,
SeaSonic VERTEX PX-850,292.35,https://pcpartpicker.com/product/8xhFf7/seasonic-vertex-px-850-850-w-80-platinum-certified-fully-modular-atx-power-supply-vertex-px-850,ATX,platinum,850,Full,Black / Silver
Vida Lite,,https://pcpartpicker.com/product/WT26Mp/vida-lite-650-w-atx-power-supply-aa-650-yy,ATX,,650,false,Black
Super Flower Leadex III Gold,125.99,https://pcpartpicker.com/product/VbhmP6/super-flower-leadex-iii-gold-650-w-80-gold-certified-fully-modular-atx-power-supply-sf-650f14hg,ATX,gold,650,Full,Black
Corsair CX650F,,https://pcpartpicker.com/product/QRQfrH/corsair-cxf-650-w-80-bronze-certified-fully-modular-atx-power-supply-cp-9020226-na,ATX,bronze,650,Full,White / Black
EVGA 500 B1,,https://pcpartpicker.com/product/zNK7YJ/evga-500-b1-500-w-80-bronze-certified-atx-power-supply-100-b1-0500-kr,ATX,bronze,500,false,
Deepcool PX1200G,,https://pcpartpicker.com/product/tWtLrH/deepcool-px1200g-1200-w-80-gold-certified-fully-modular-atx-power-supply-r-pxc00g-fc0b-us,ATX,gold,1200,Full,Black
EVGA SuperNOVA 650 G1,215,https://pcpartpicker.com/product/g63RsY/evga-supernova-650-g1-650-w-80-gold-certified-fully-modular-atx-power-supply-120-g1-0650-xr,ATX,gold,650,Full,
Corsair TX850M Gold,,https://pcpartpicker.com/product/vfBrxr/corsair-txm-gold-850w-80-gold-certified-semi-modular-atx-power-supply-cp-9020130-na,ATX,gold,850,Semi,
EVGA SuperNOVA 850 P2,,https://pcpartpicker.com/product/zhgPxr/evga-supernova-850-p2-850-w-80-platinum-certified-fully-modular-atx-power-supply-220-p2-0850-x1,ATX,platinum,850,Full,
Rosewill CMG1000G5,109.99,https://pcpartpicker.com/product/9LsV3C/rosewill-cmg1000g5-1000-w-80-gold-certified-fully-modular-atx-power-supply-cmg1000g5,ATX,gold,1000,Full,Black
Silverstone SX750-PT,,https://pcpartpicker.com/product/3RLwrH/silverstone-sx-pt-750-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx750-pt,SFX,platinum,750,Full,Black
KOLINK ENCLAVE,,https://pcpartpicker.com/product/BFkH99/kolink-enclave-600-w-80-gold-certified-fully-modular-atx-power-supply-pgw-ps-kol-017,ATX,gold,600,Full,Black
Corsair RM650,222.18,https://pcpartpicker.com/product/Yx4gXL/corsair-rm650-650-w-80-gold-certified-fully-modular-atx-power-supply-rm650,ATX,gold,650,Full,
Corsair CX750 (2017),212.95,https://pcpartpicker.com/product/RGCrxr/corsair-cx-2017-750w-80-bronze-certified-atx-power-supply-cp-9020123-na,ATX,bronze,750,false,
SeaSonic FOCUS Plus 550 Gold,,https://pcpartpicker.com/product/bkp323/seasonic-focus-plus-gold-550w-80-gold-certified-fully-modular-atx-power-supply-ssr-550fx,ATX,gold,550,Full,
Corsair CS650M,,https://pcpartpicker.com/product/sbqdnQ/corsair-cs650m-650-w-80-gold-certified-semi-modular-atx-power-supply-cs650m,ATX,gold,650,Semi,
Cooler Master G Gold 750 V2,,https://pcpartpicker.com/product/dX4Zxr/cooler-master-g-gold-750-v2-750-w-80-gold-certified-atx-power-supply-mpe-7502-acaag-us,ATX,gold,750,false,Black
Antec CSK,100.26,https://pcpartpicker.com/product/8RcG3C/antec-csk-750-w-80-bronze-certified-semi-modular-atx-power-supply-csk750h,ATX,bronze,750,Semi,Black / Yellow
Enermax Revolution D.F. 12,129.99,https://pcpartpicker.com/product/yGgrxr/enermax-revolution-df-12-850-w-80-gold-certified-fully-modular-atx-power-supply-etv850g,ATX,gold,850,Full,Black
Rosewill CMG1200G5,129.99,https://pcpartpicker.com/product/7BjRsY/rosewill-cmg1200g5-1200-w-80-gold-certified-fully-modular-atx-power-supply-cmg1200g5,ATX,gold,1200,Full,Black
Silverstone DA750R-GMA,,https://pcpartpicker.com/product/KxjRsY/silverstone-da750r-gma-750-w-80-gold-certified-fully-modular-atx-power-supply-sst-da750r-gma,ATX,gold,750,Full,Black
Cooler Master XG850 Plus,139.77,https://pcpartpicker.com/product/ZkFbt6/cooler-master-xg850-plus-850-w-80-platinum-certified-fully-modular-atx-power-supply-mpg-8501-afbap-xus,ATX,platinum,850,Full,Black
Deepcool PF350 230V,,https://pcpartpicker.com/product/hKqrxr/deepcool-pf350-230v-350-w-80-certified-atx-power-supply-r-pf350d-ha0b-us,ATX,plus,350,false,Black
MSI MAG A500DN,,https://pcpartpicker.com/product/6sRYcf/msi-mag-a500dn-500-w-80-certified-atx-power-supply-mag-a500dn,ATX,plus,500,false,Black
be quiet! System Power 9 700 CM,231.46,https://pcpartpicker.com/product/HHRgXL/be-quiet-system-power-9-cm-700-w-80-bronze-certified-semi-modular-atx-power-supply-bn303,ATX,bronze,700,Semi,Black
Silverstone Strider Titanium,363.99,https://pcpartpicker.com/product/cQTPxr/silverstone-strider-titanium-1300-w-80-titanium-certified-fully-modular-atx-power-supply-sst-st1300-ti,ATX,titanium,1300,Full,Black / Blue
SeaSonic S12II,224.13,https://pcpartpicker.com/product/fZyFf7/seasonic-s12ii-520-w-80-bronze-certified-atx-power-supply-s12ii-520-bronze,ATX,bronze,520,false,
Montech CENTURY G5,108.9,https://pcpartpicker.com/product/KGDQzy/montech-century-g5-750-w-80-gold-certified-fully-modular-atx-power-supply-century-g5-750w,ATX,gold,750,Full,Black
NZXT C750,,https://pcpartpicker.com/product/dxt9TW/nzxt-c-750-w-80-bronze-certified-semi-modular-atx-power-supply-pa-7b1bb-us,ATX,bronze,750,Semi,Black
Asus ROG Strix Aura Edition,149.99,https://pcpartpicker.com/product/3vzhP6/asus-rog-strix-aura-edition-750-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-750g-aura-gaming,ATX,gold,750,Full,Black
FSP Group Hydro Pro,,https://pcpartpicker.com/product/2GYRsY/fsp-group-hydro-pro-800-w-80-bronze-certified-atx-power-supply-hp2-800,ATX,bronze,800,false,Black
Cooler Master GX III GOLD,139.99,https://pcpartpicker.com/product/MtkH99/cooler-master-gx-iii-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-mpx-7503-afag,ATX,gold,750,Full,Black / Purple
Thermaltake Toughpower PF3,,https://pcpartpicker.com/product/gtpQzy/thermaltake-toughpower-pf3-850-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfapu-3,ATX,platinum,850,Full,Black
Silverstone Strider Platinum S,214.99,https://pcpartpicker.com/product/QGrmP6/silverstone-strider-platinum-s-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sst-st1000-pts,ATX,platinum,1000,Full,Black
Thermaltake TPD-0550M,,https://pcpartpicker.com/product/N63RsY/thermaltake-power-supply-pstpd0550mpcgus1,ATX,gold,550,Semi,
SeaSonic PRIME PX,414.99,https://pcpartpicker.com/product/pkpzK8/seasonic-prime-px-1600-w-80-platinum-certified-fully-modular-atx-power-supply-prime-px-1600,ATX,platinum,1600,Full,Black / Silver
Thermaltake Smart Pro RGB,,https://pcpartpicker.com/product/zPp323/thermaltake-smart-pro-rgb-850w-80-bronze-certified-fully-modular-atx-power-supply-ps-spr-0850fpcbus-r,ATX,bronze,850,Full,
SHARKOON SilentStorm Cool Zero 750,,https://pcpartpicker.com/product/gGfFf7/sharkoon-silentstorm-cool-zero-750-w-80-gold-certified-fully-modular-atx-power-supply-4044951026470,ATX,gold,750,Full,Black
EVGA GE,,https://pcpartpicker.com/product/F688TW/evga-ge-800-w-80-gold-certified-atx-power-supply-200-ge-0800-v1,ATX,gold,800,false,Black
Thermalright TG,,https://pcpartpicker.com/product/VsMMnQ/thermalright-tg-750-w-80-gold-certified-fully-modular-atx-power-supply-tg-750,ATX,gold,750,Full,Black
Thermaltake TR2,59.04,https://pcpartpicker.com/product/wTK7YJ/thermaltake-power-supply-tr600,ATX,,600,false,
EVGA SuperNOVA 1000 T2,,https://pcpartpicker.com/product/Bv38TW/evga-supernova-1000-t2-1000-w-80-titanium-certified-fully-modular-atx-power-supply-220-t2-1000-x1,ATX,titanium,1000,Full,
Corsair VS650,,https://pcpartpicker.com/product/FxDwrH/corsair-power-supply-cp9020051ww,ATX,,650,false,
Thermalright TG,,https://pcpartpicker.com/product/7kqrxr/thermalright-tg-650-w-80-gold-certified-fully-modular-atx-power-supply-tg-650-w,ATX,gold,650,Full,White
Antec NeoECO Gold,,https://pcpartpicker.com/product/FWkWGX/antec-neoeco-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-ne750g-m,ATX,gold,750,Full,
Thermaltake Toughpower GF A3 ATX 3.0,,https://pcpartpicker.com/product/m43NnQ/thermaltake-toughpower-gf-a3-atx-30-1050-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1050fnfaga-h,ATX,gold,1050,Full,Black
Silverstone TX700-G,156.63,https://pcpartpicker.com/product/2Bwypg/silverstone-tx700-g-700-w-80-gold-certified-tfx-power-supply-sst-tx700-g,TFX,gold,700,false,Black
Gigabyte P650SS,,https://pcpartpicker.com/product/cf3NnQ/gigabyte-p650ss-650-w-80-silver-certified-atx-power-supply-gp-p650ss,ATX,silver,650,false,Black
Vida Lite,,https://pcpartpicker.com/product/2MjRsY/vida-lite-750-w-atx-power-supply-aa-750-yy,ATX,,750,false,Black
Aerocool Integrator Gold,,https://pcpartpicker.com/product/rFQKHx/aerocool-integrator-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-acpg-im85fkc31,ATX,gold,850,Full,Black
Corsair TX750,200,https://pcpartpicker.com/product/N7jG3C/corsair-power-supply-cmpsu750tx,ATX,plus,750,false,
GameMax RGB Rainbow,129.99,https://pcpartpicker.com/product/cDxbt6/gamemax-rgb-850-w-80-gold-certified-fully-modular-atx-power-supply-rgb-850,ATX,gold,850,Full,Black
FSP Group Hydro GE,89.99,https://pcpartpicker.com/product/ns448d/fsp-group-hydro-ge-650-w-80-gold-certified-fully-modular-atx-power-supply-hge650,ATX,gold,650,Full,
Thermaltake Toughpower Grand RGB,162.93,https://pcpartpicker.com/product/XRmxFT/thermaltake-toughpower-grand-rgb-750w-80-gold-certified-fully-modular-atx-power-supply-ps-tpg-0750fpcgus-r,ATX,gold,750,Full,
Gigabyte AORUS P GM,,https://pcpartpicker.com/product/xzYQzy/gigabyte-aorus-p-gm-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ap850gm,ATX,gold,850,Full,Black / Silver
Razer Katana Chroma,370.49,https://pcpartpicker.com/product/CVJgXL/razer-katana-chroma-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rc21-01840400-r3ut,ATX,platinum,1200,Full,Black
iTek GF EVO,,https://pcpartpicker.com/product/dYytt6/itek-gf-evo-650-w-80-gold-certified-fully-modular-atx-power-supply-itpsegf650,ATX,gold,650,Full,Black
GameMax RGB Pro,109.99,https://pcpartpicker.com/product/WGyH99/gamemax-rgb-pro-850-w-80-gold-certified-fully-modular-atx-power-supply-rgb850-white,ATX,gold,850,Full,White
EVGA SuperNOVA 550 GM,,https://pcpartpicker.com/product/QgyV3C/evga-supernova-550-gm-550-w-80-gold-certified-fully-modular-sfx-power-supply-123-gm-0550-y1,SFX,gold,550,Full,Black
EVGA SuperNOVA NEX650G Gold,,https://pcpartpicker.com/product/YNdqqs/evga-supernova-nex650g-gold-650-w-80-gold-certified-fully-modular-atx-power-supply-120-pg-0650-gr,ATX,gold,650,Full,
Gigabyte UD1000GM PG5,231.99,https://pcpartpicker.com/product/7qM48d/gigabyte-ud1000gm-pg5-1000-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud1000gm-pg5,ATX,gold,1000,Full,Black
EVGA SuperNOVA 1200 P3,357.08,https://pcpartpicker.com/product/WTD7YJ/evga-supernova-1200-p3-1200-w-80-platinum-certified-fully-modular-atx-power-supply-220-p3-1200-x1,ATX,platinum,1200,Full,Black / Silver
Thermaltake Toughpower GF A3 - TT Premium Edition,,https://pcpartpicker.com/product/YDJp99/thermaltake-toughpower-gf-a3-tt-premium-edition-1200-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1200fnfage-h,ATX,gold,1200,Full,Black
Corsair CX550F,,https://pcpartpicker.com/product/KhWBD3/corsair-cxf-550-w-80-bronze-certified-fully-modular-atx-power-supply-cp-9020225-na,ATX,bronze,550,Full,White / Black
Corsair CX450 (2017),,https://pcpartpicker.com/product/Q7L7YJ/corsair-cx-2017-450w-80-bronze-certified-atx-power-supply-cp-9020120-na,ATX,bronze,450,false,
Corsair HX850,,https://pcpartpicker.com/product/WxfxFT/corsair-hx850-850-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020213-na,ATX,platinum,850,Full,Black
Thermalright TGFX750,,https://pcpartpicker.com/product/WYxxFT/thermalright-tgfx750-750-w-80-gold-certified-fully-modular-sfx-power-supply-tgfx750,SFX,gold,750,Full,Black
Thermaltake Toughpower GF1 ARGB,119.99,https://pcpartpicker.com/product/JQZzK8/thermaltake-toughpower-gf1-argb-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750f3fagu-1,ATX,gold,750,Full,
Thermaltake Smart RGB 230V,,https://pcpartpicker.com/product/K97scf/thermaltake-smart-rgb-230v-600-w-80-certified-atx-power-supply-ps-spr-0600nhsawe-1,ATX,plus,600,false,Black
Thermaltake Toughpower PF3,,https://pcpartpicker.com/product/qp88TW/thermaltake-toughpower-pf3-1050-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-1050fnfapu-3,ATX,platinum,1050,Full,Black
Antec NeoECO Gold,166.27,https://pcpartpicker.com/product/3z4Ycf/antec-neoeco-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-ne850g-m,ATX,gold,850,Full,
EVGA 550 B5,150.1,https://pcpartpicker.com/product/zdvqqs/evga-550-b5-550-w-80-bronze-certified-fully-modular-atx-power-supply-220-b5-0550-v1,ATX,bronze,550,Full,Black
Thermaltake Toughpower GX1 RGB,,https://pcpartpicker.com/product/r2TzK8/thermaltake-toughpower-gx1-rgb-700-w-80-gold-certified-atx-power-supply-ps-tpd-0700nhfagu-1,ATX,gold,700,false,Black
Cooler Master V550 V2,,https://pcpartpicker.com/product/sj3mP6/cooler-master-v550-v2-550-w-80-gold-certified-fully-modular-atx-power-supply-mpy-550v-agbag-us,ATX,gold,550,Full,White
Cooler Master V750 V2,,https://pcpartpicker.com/product/yQFKHx/cooler-master-v750-v2-750-w-80-gold-certified-fully-modular-atx-power-supply-mpy-750v-agbag-us,ATX,gold,750,Full,White
Cooler Master V750 SFX GOLD,,https://pcpartpicker.com/product/JrLFf7/cooler-master-v-sfx-gold-750-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-7501-sfhagv-wu,SFX,gold,750,Full,White
Silverstone SX1000R-PL,262.99,https://pcpartpicker.com/product/xw88TW/silverstone-sx1000r-pl-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx1000r-pl,SFX,platinum,1000,Full,Black / White
Corsair HX1000i (2022),295,https://pcpartpicker.com/product/XBVmP6/corsair-hx1000i-2022-1000-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020214-na,ATX,platinum,1000,Full,Black
Cooler Master V650 Gold V2,,https://pcpartpicker.com/product/hwdrxr/cooler-master-v650-gold-v2-650-w-80-gold-certified-fully-modular-atx-power-supply-mpy-650v-afbag,ATX,gold,650,Full,Black
Deepcool PF400 230V,,https://pcpartpicker.com/product/HRV2FT/deepcool-pf400-230v-400-w-80-certified-atx-power-supply-r-pf400d-ha0b-us,ATX,plus,400,false,Black
Enermax Revolution D.F. 12,151.5,https://pcpartpicker.com/product/swvD4D/enermax-revolution-df-12-750-w-80-gold-certified-fully-modular-atx-power-supply-etv750g,ATX,gold,750,Full,Black
Super Flower Leadex V Pro,,https://pcpartpicker.com/product/8VWJ7P/super-flower-leadex-v-pro-1000-w-80-gold-certified-fully-modular-atx-power-supply-sf-1000f14tgwh,ATX,gold,1000,Full,White
Thermaltake Toughpower GF1 Snow - TT Premium,129.99,https://pcpartpicker.com/product/V7t9TW/thermaltake-toughpower-gf1-snow-tt-premium-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagx-w,ATX,gold,750,Full,White
KOLINK Modular Power,,https://pcpartpicker.com/product/pmcgXL/kolink-modular-power-700-w-80-bronze-certified-semi-modular-atx-power-supply-kl-700mv2,ATX,bronze,700,Semi,Black
Cooler Master G Gold 650 V2,,https://pcpartpicker.com/product/yX4Zxr/cooler-master-g-gold-650-v2-650-w-80-gold-certified-atx-power-supply-mpe-6502-acaag-us,ATX,gold,650,false,Black
EVGA SuperNOVA 750 P5,179.99,https://pcpartpicker.com/product/qY7G3C/evga-supernova-750-p5-750-w-80-platinum-certified-fully-modular-atx-power-supply-220-p5-0750-x1,ATX,platinum,750,Full,Black / Teal
SeaSonic PRIME Ultra Gold 850,164.98,https://pcpartpicker.com/product/Y4YLrH/seasonic-prime-ultra-gold-850w-80-gold-certified-fully-modular-atx-power-supply-ssr-850gd,ATX,gold,850,Full,Black
Thermalright TGFX650,,https://pcpartpicker.com/product/bs26Mp/thermalright-tgfx650-650-w-80-gold-certified-fully-modular-sfx-power-supply-tgfx650-w,SFX,gold,650,Full,White
Thermaltake Toughpower GX1,91.82,https://pcpartpicker.com/product/bPKscf/thermaltake-toughpower-gx1-600-w-80-gold-certified-semi-modular-atx-power-supply-ps-tpd-0700nnfage-1,ATX,gold,600,Semi,Black
Cooler Master MWE Gold 750,,https://pcpartpicker.com/product/v6gzK8/cooler-master-mwe-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-mpy-7501-afaag-us,ATX,gold,750,Full,Black
Corsair CX430,,https://pcpartpicker.com/product/dnxfrH/corsair-cx430-430-w-80-bronze-certified-atx-power-supply-cx430,ATX,bronze,430,false,
ENDORFY Vero L5,,https://pcpartpicker.com/product/J2n9TW/endorfy-vero-l5-700-w-80-bronze-certified-atx-power-supply-ey7a006,ATX,bronze,700,false,Black
Thermaltake Toughpower GF1 PE,129.99,https://pcpartpicker.com/product/dJmFf7/thermaltake-toughpower-gf1-pe-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagu-1,ATX,gold,750,Full,Black
ADATA XPG KYBER,129.99,https://pcpartpicker.com/product/X33NnQ/adata-xpg-kyber-850-w-80-gold-certified-atx-power-supply-kyber850g-bkcus,ATX,gold,850,false,Black
Corsair RM750i,,https://pcpartpicker.com/product/C3bkcf/corsair-power-supply-cp9020082na,ATX,gold,750,Full,
Thermalright TPFX650,,https://pcpartpicker.com/product/RNMMnQ/thermalright-tpfx650-650-w-80-platinum-certified-fully-modular-sfx-power-supply-tpfx650,SFX,platinum,650,Full,Black
Deepcool PL650D,,https://pcpartpicker.com/product/8cLdnQ/deepcool-pl650d-650-w-80-bronze-certified-atx-power-supply-r-pl650d-fc0b-us,ATX,bronze,650,false,Black
Mars Gaming MPII650,,https://pcpartpicker.com/product/dkndnQ/mars-gaming-650w-atx-power-supply-mpii650,ATX,,650,false,Black / Red
ADATA XPG CYBERCORE,169.99,https://pcpartpicker.com/product/2BBG3C/adata-xpg-cybercore-1300-w-80-platinum-certified-fully-modular-atx-power-supply-cybercore1300-bkcus,ATX,platinum,1300,Full,Black / Silver
Silverstone HELA 850R,214.39,https://pcpartpicker.com/product/x36p99/silverstone-hela-850r-850-w-80-platinum-certified-fully-modular-atx-power-supply-sst-ha850r-pm,ATX,platinum,850,Full,Black / Silver
Cooler Master MWE Bronze 750 V3 230V,,https://pcpartpicker.com/product/wVxxFT/cooler-master-mwe-bronze-750-v3-230v-750-w-80-bronze-certified-atx-power-supply-mpe-7501-acabw-3buk,ATX,bronze,750,false,Black
Thermaltake Toughpower PF1 - TT Premium Edition,224.99,https://pcpartpicker.com/product/WTK2FT/thermaltake-toughpower-pf1-tt-premium-edition-750-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfapu-1,ATX,platinum,750,Full,Black
FSP Group Hydro Pro,,https://pcpartpicker.com/product/rsrqqs/fsp-group-hydro-pro-700-w-80-bronze-certified-atx-power-supply-hp2-700,ATX,bronze,700,false,Black
"FSP Group Hydro PTM X PRO,Gen5",169.99,https://pcpartpicker.com/product/p3NYcf/fsp-group-hydro-ptm-x-progen5-1000-w-80-platinum-certified-fully-modular-atx-power-supply-hpt3-1000m-g5,ATX,platinum,1000,Full,Black
Cooler Master V850 Gold V2,,https://pcpartpicker.com/product/pkpmP6/cooler-master-v850-gold-v2-850-w-80-gold-certified-fully-modular-atx-power-supply-mpy-850v-afbag,ATX,gold,850,Full,Black
Silverstone DA850R-GMA,,https://pcpartpicker.com/product/F39wrH/silverstone-da850r-gma-850-w-80-gold-certified-fully-modular-atx-power-supply-sst-da850r-gma,ATX,gold,850,Full,Black
SeaSonic PRIME PX,450,https://pcpartpicker.com/product/4GK2FT/seasonic-prime-px-1000-w-80-platinum-certified-fully-modular-atx-power-supply-prime-px-1000,ATX,platinum,1000,Full,Black / Silver
Antec NE1000G M White ATX 3.0,,https://pcpartpicker.com/product/MQcgXL/antec-ne1000g-m-white-atx-30-1000-w-80-gold-certified-fully-modular-atx-power-supply-ne1000g-m-white-atx-30,ATX,gold,1000,Full,White
SeaSonic CORE GM,,https://pcpartpicker.com/product/sMrYcf/seasonic-core-gm-650-w-80-gold-certified-semi-modular-atx-power-supply-core-gm-650,ATX,gold,650,Semi,Black
Xilence XP400R6,101.29,https://pcpartpicker.com/product/fbVD4D/xilence-performance-c-400w-atx-power-supply-xn041,ATX,,400,false,Black / Red
Deepcool PX1000G WH,,https://pcpartpicker.com/product/FXYRsY/deepcool-px1000g-wh-1000-w-80-gold-certified-fully-modular-atx-power-supply-px1000g-wh,ATX,gold,1000,Full,White
EVGA SuperNOVA 750 P2,,https://pcpartpicker.com/product/jBZ2FT/evga-supernova-750-p2-750-w-80-platinum-certified-fully-modular-atx-power-supply-220-p2-0750-x1,ATX,platinum,750,Full,
EVGA 450 BT,,https://pcpartpicker.com/product/GQX2FT/evga-450-bt-450-w-80-bronze-certified-atx-power-supply-100-bt-0450-k1,ATX,bronze,450,false,
ARESGAME AGT,,https://pcpartpicker.com/product/Hn6p99/aresgame-agt-1000-w-80-gold-certified-fully-modular-atx-power-supply-tx1000,ATX,gold,1000,Full,Black
PowerSpec PSX 850GFM,,https://pcpartpicker.com/product/9rFKHx/powerspec-850-w-80-gold-certified-fully-modular-atx-power-supply-psx-850gfm,ATX,gold,850,Full,Black
Deepcool PK450D,,https://pcpartpicker.com/product/DC6NnQ/deepcool-pk450d-450-w-80-bronze-certified-atx-power-supply-r-pk450d-fa0b-us,ATX,bronze,450,false,Black
NZXT C650,99.98,https://pcpartpicker.com/product/yVC48d/nzxt-c-650-w-80-bronze-certified-semi-modular-atx-power-supply-pa-6b1bb-us,ATX,bronze,650,Semi,Black
EVGA 430 W1,,https://pcpartpicker.com/product/HvTmP6/evga-430-w1-430-w-80-certified-atx-power-supply-100-w1-0430-kr,ATX,plus,430,false,
GameMax RGB Rainbow,,https://pcpartpicker.com/product/s3tKHx/gamemax-rgb-rainbow-1050-w-80-gold-certified-fully-modular-atx-power-supply-rgb-1050,ATX,gold,1050,Full,Black
SeaSonic FOCUS SGX,,https://pcpartpicker.com/product/rRFKHx/seasonic-focus-sgx-500-w-80-gold-certified-fully-modular-sfx-power-supply-ssr-500sgx,SFX,gold,500,Full,Black
Cooler Master GXII,,https://pcpartpicker.com/product/LYKscf/cooler-master-gxii-750-w-80-gold-certified-fully-modular-atx-power-supply-mpx-7503-afag-2bus,ATX,gold,750,Full,Black
FSP Group FSP300-60LG,108.02,https://pcpartpicker.com/product/Js2kcf/fsp-group-power-supply-fsp30060lg,Mini ITX,bronze,300,false,
Antec CSK,87.32,https://pcpartpicker.com/product/Vqt9TW/antec-csk-550-w-80-bronze-certified-atx-power-supply-csk550,ATX,bronze,550,false,Black / Yellow
