name,price,href,type,efficiency,wattage,modular,color
Corsair HX1500i (2023),359.98,https://pcpartpicker.com/product/fFbRsY/corsair-hx1500i-2023-1500-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020261-na,ATX,platinum,1500,Full,Black
Corsair SF850L,129.99,https://pcpartpicker.com/product/LxsV3C/corsair-sf850l-850-w-80-gold-certified-fully-modular-sfx-power-supply-cp-9020245-na,SFX,gold,850,Full,Black
Corsair CX650M (2021),69.98,https://pcpartpicker.com/product/x96p99/corsair-cx650m-2021-650-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020221-na,ATX,bronze,650,Semi,Black
Corsair AX1600i,549,https://pcpartpicker.com/product/cJbwrH/corsair-1600w-80-titanium-certified-fully-modular-atx-power-supply-cp-9020087-na,ATX,titanium,1600,Full,
Corsair RM750,109.99,https://pcpartpicker.com/product/R4Gbt6/corsair-rm750-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020231-na,ATX,gold,750,Full,White / Black
be quiet! Dark Power 13,219.9,https://pcpartpicker.com/product/Yqqrxr/be-quiet-dark-power-13-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn661,ATX,titanium,1000,Full,Black
SeaSonic FOCUS Plus 650 Gold,96.99,https://pcpartpicker.com/product/WrNypg/seasonic-focus-plus-gold-650w-80-gold-certified-fully-modular-atx-power-supply-ssr-650fx,ATX,gold,650,Full,
Apevia Prestige,51.99,https://pcpartpicker.com/product/xLtKHx/apevia-prestige-600-w-80-gold-certified-atx-power-supply-atx-rp600w,ATX,gold,600,false,Black
MSI MPG A850G PCIE5,127.88,https://pcpartpicker.com/product/nhC48d/msi-mpg-a850g-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850g-pcie5,ATX,gold,850,Full,Black
MSI MAG A850GL PCIE5,109.86,https://pcpartpicker.com/product/LPBzK8/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5-white,ATX,gold,850,Full,White
EVGA 400 N1,35.49,https://pcpartpicker.com/product/86M323/evga-400-n1-400-w-atx-power-supply-100-n1-0400-l1,ATX,,400,false,
EVGA 500 W1,47.99,https://pcpartpicker.com/product/XCjG3C/evga-500-w1-500-w-80-certified-atx-power-supply-100-w1-0500-kr,ATX,plus,500,false,
Lian Li SP,129,https://pcpartpicker.com/product/3ZzhP6/lian-li-sp-750-w-80-gold-certified-fully-modular-sfx-power-supply-sp750,SFX,gold,750,Full,Black
EVGA SuperNOVA 1000 GT,143.88,https://pcpartpicker.com/product/zQNxFT/evga-supernova-1000-gt-1000-w-80-gold-certified-fully-modular-atx-power-supply-220-gt-1000-x1,ATX,gold,1000,Full,Black
EVGA SuperNOVA 850 GT,114.99,https://pcpartpicker.com/product/YF4Ycf/evga-supernova-850-gt-850-w-80-gold-certified-fully-modular-atx-power-supply-220-gt-0850-y1,ATX,gold,850,Full,Black
SeaSonic FOCUS Plus Platinum,119.99,https://pcpartpicker.com/product/dCs8TW/seasonic-focus-plus-platinum-750w-80-platinum-certified-fully-modular-atx-power-supply-ssr-750px,ATX,platinum,750,Full,
Corsair SF850 (2024),199.99,https://pcpartpicker.com/product/ZsTZxr/corsair-sf850-2024-850-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020256,SFX,platinum,850,Full,Black
Thermaltake Smart BM3,59.99,https://pcpartpicker.com/product/XmNYcf/thermaltake-smart-bm3-650-w-80-bronze-certified-semi-modular-atx-power-supply-ps-spd-0650mnfabu-3,ATX,bronze,650,Semi,Black
Silverstone HELA,1118.91,https://pcpartpicker.com/product/GMkWGX/silverstone-hela-2050-w-fully-modular-atx-power-supply-sst-ha2050-pt,ATX,,2050,Full,Black / White
Thermaltake Toughpower GF1 (2024),84.99,https://pcpartpicker.com/product/x4hv6h/thermaltake-toughpower-gf1-2024-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagu-p,ATX,gold,750,Full,Black
