name,price,href,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Force Vulcan Z 32 GB,56.99,https://pcpartpicker.com/product/PJ6qqs/teamgroup-t-force-vulcan-z-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-tlzgd432g3600hc18jdc01,"4,3600","2,16",1.781,Black,10,18
G.Skill Trident Z5 RGB 32 GB,109.99,https://pcpartpicker.com/product/RXGbt6/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-f5-6400j3239g16gx2-tz5rk,"5,6400","2,16",3.437,Black,10,32
Kingston FURY Beast 16 GB,41.99,https://pcpartpicker.com/product/6YfnTW/kingston-fury-beast-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-kf432c16bbk216,"4,3200","2,8",2.624,Black,10,16
Kingston FURY Beast 16 GB,55.99,https://pcpartpicker.com/product/hbJgXL/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-kf552c40bbk2-16,"5,5200","2,8",3.499,Black,15.385,40
TEAMGROUP T-Create Expert 32 GB,88.99,https://pcpartpicker.com/product/QzP8TW/teamgroup-t-create-expert-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-ctcwd532g6000hc30dc01,"5,6000","2,16",2.781,White,10,30
Silicon Power GAMING 32 GB,48.97,https://pcpartpicker.com/product/B8QcCJ/silicon-power-gaming-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-sp032gxlzu320bdaj7,"4,3200","2,16",1.53,Black,10,16
G.Skill Ripjaws S5 32 GB,99.99,https://pcpartpicker.com/product/x4VmP6/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rs5k,"5,6000","2,16",3.125,Black,10,30
Corsair Vengeance LPX 64 GB,102.49,https://pcpartpicker.com/product/k2mFf7/corsair-vengeance-lpx-64-gb-2-x-32-gb-ddr4-3200-memory-cmk64gx4m2e3200c16,"4,3200","2,32",1.601,Black / Yellow,10,16
G.Skill Trident Z5 Neo 64 GB,192.99,https://pcpartpicker.com/product/Xg2WGX/gskill-trident-z5-neo-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-tz5n,"5,6000","2,32",3.015,Black / Silver,10,30
Corsair Vengeance RGB 32 GB,115.99,https://pcpartpicker.com/product/mjt9TW/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000z30k,"5,6000","2,16",3.625,Gray,10,30
G.Skill Flare X5 32 GB,89.99,https://pcpartpicker.com/product/cnbTwP/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-f5-6000j3238f16gx2-fx5,"5,6000","2,16",2.812,Black,10.667,32
G.Skill Flare X5 64 GB,194.99,https://pcpartpicker.com/product/6QcgXL/gskill-flare-x5-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-f5-6000j3040g32gx2-fx5,"5,6000","2,32",3.047,Black,10,30
TEAMGROUP T-Force Delta RGB 32 GB,67.98,https://pcpartpicker.com/product/ZRpmP6/team-t-force-delta-rgb-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-tf4d432g3600hc18jdc01,"4,3600","2,16",2.124,White,10,18
G.Skill Ripjaws V 16 GB,35.99,https://pcpartpicker.com/product/jBZzK8/gskill-ripjaws-v-16-gb-2-x-8-gb-ddr4-3600-memory-f4-3600c16d-16gvkc,"4,3600","2,8",2.249,Black,8.889,16
Kingston FURY Beast 32 GB,107.99,https://pcpartpicker.com/product/hMLFf7/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-kf560c36bbek2-32,"5,6000","2,16",3.375,Black,12,36
Kingston FURY Beast 32 GB,60.99,https://pcpartpicker.com/product/3q2WGX/kingston-fury-beast-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-kf432c16bbk232,"4,3200","2,16",1.906,Black,10,16
Corsair Vengeance LPX 16 GB,43.99,https://pcpartpicker.com/product/VNJtt6/corsair-16-gb-2-x-8-gb-ddr4-3600-memory-cmk16gx4m2d3600c18,"4,3600","2,8",2.749,Black,10,18
Corsair Dominator Titanium 64 GB,299.99,https://pcpartpicker.com/product/2pV2FT/corsair-dominator-titanium-64-gb-2-x-32-gb-ddr5-6600-cl32-memory-cmp64gx5m2x6600c32,"5,6600","2,32",4.687,Black,9.697,32
Crucial Pro Overclocking 32 GB,99.99,https://pcpartpicker.com/product/QF9wrH/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cp2k16g60c36u5b,"5,6000","2,16",3.125,Black,12,36
Kingston FURY Beast RGB 16 GB,82.12,https://pcpartpicker.com/product/nycgXL/kingston-fury-beast-rgb-16-gb-2-x-8-gb-ddr5-6000-cl36-memory-kf560c36bbeak2-16,"5,6000","2,8",5.133,Black,12,36
