name,price,href,rpm,noise_level,color,size
Noctua NH-U12S chromax.black,89.95,https://pcpartpicker.com/product/dMVG3C/noctua-nh-u12s-chromaxblack-55-cfm-cpu-cooler-nh-u12s-chromaxblack,"300,1500","18.6,22.4",Black,
Lian Li Galahad II Trinity SL-INF,189.99,https://pcpartpicker.com/product/hQfxFT/lian-li-galahad-ii-trinity-sl-inf-613-cfm-liquid-cpu-cooler-ga2t36inb,2100,29,Black,360
NZXT Kraken 360,179.99,https://pcpartpicker.com/product/D8rqqs/nzxt-kraken-360-7802-cfm-liquid-cpu-cooler-rl-kn360-b1,"500,1800","17.9,30.6",Black,360
Deepcool AK620 ZERO DARK,,https://pcpartpicker.com/product/7J6p99/deepcool-ak620-zero-dark-6899-cfm-cpu-cooler-r-ak620-bknnmt-g-1,"500,1850",28,Black,
Thermalright Frozen Notte ARGB,50.9,https://pcpartpicker.com/product/zP88TW/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-240-black-argb,2000,27.7,Black,240
ARCTIC Freezer 36,28.48,https://pcpartpicker.com/product/N6bRsY/arctic-freezer-36-cpu-cooler-acfre00123a,"200,1800",,Black,
Thermalright Peerless Assassin 120 Black,45.79,https://pcpartpicker.com/product/YxVmP6/thermalright-peerless-assassin-120-black-6617-cfm-cpu-cooler-pa120-black,1550,25.6,Black,
ID-COOLING FROZN A410 BLACK,29.99,https://pcpartpicker.com/product/R6P8TW/id-cooling-frozn-a410-black-7825-cfm-cpu-cooler-frozn-a410-black,"500,2000",29.85,Black,
NZXT Kraken 360 RGB,219.99,https://pcpartpicker.com/product/HNcgXL/nzxt-kraken-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr360-w1,"500,1800","17.9,30.6",White,360
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,https://pcpartpicker.com/product/KNn9TW/noctua-nh-l9a-am5-chromaxblack-3384-cfm-cpu-cooler-nh-l9a-am5-chromaxblack,"600,2500","14.8,23.6",Black,
Thermalright Frozen Notte ARGB,,https://pcpartpicker.com/product/RD7scf/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-360-black-argb-d1,2000,27.7,Black,360
Cooler Master Hyper 212 Spectrum V3,22.98,https://pcpartpicker.com/product/jgbRsY/cooler-master-hyper-212-spectrum-v3-7193-cfm-cpu-cooler-rr-s4na-17pa-r1,"650,1750",27.2,Black / Silver,
Thermalright Assassin Spirit 120 EVO,23.9,https://pcpartpicker.com/product/zrP8TW/thermalright-assassin-spirit-120-evo-689-cfm-cpu-cooler-as120-evo,2000,28.2,Black,
Corsair iCUE H100i RGB ELITE,137.72,https://pcpartpicker.com/product/scstt6/corsair-icue-h100i-rgb-elite-591-cfm-liquid-cpu-cooler-cw-9060058-ww,"400,1850","5,28.9",Black,240
Noctua NH-L9a-AM4,55.16,https://pcpartpicker.com/product/DZfhP6/noctua-nh-l9a-am4-3384-cfm-cpu-cooler-nh-l9a-am4,"600,2500","14.8,23.6",Brown,
