name,price,href,rpm,noise_level,color,size
ENDORFY Fera 5 ARGB,62.62,https://pcpartpicker.com/product/crV2FT/endorfy-fera-5-argb-cpu-cooler-ey3a007,"250,1800",,Black / Silver,
Alphacool Core Ocean T38,79,https://pcpartpicker.com/product/CrLdnQ/alphacool-core-ocean-t38-628-cfm-liquid-cpu-cooler-13052,,"0,34.3",Black,360
Scythe Mugen 5 Black Edition Rev.C,52.99,https://pcpartpicker.com/product/wrDQzy/scythe-mugen-5-black-edition-revc-6762-cfm-cpu-cooler-scmg-5200be,"300,1500","4,28.6",Black,
Inter-Tech ALSEYE W90,,https://pcpartpicker.com/product/2qHqqs/inter-tech-alseye-w90-5565-cfm-cpu-cooler-w90,3000,36.7,White / Black,
Lian Li ALC 360,109.99,https://pcpartpicker.com/product/ZRZXsY/lian-li-alc-360-799-cfm-liquid-cpu-cooler-acl360b-black,"300,2450",30,,360
Corsair H115i PRO,,https://pcpartpicker.com/product/W6RzK8/corsair-h115i-pro-554-cfm-liquid-cpu-cooler-cw-9060032-ww,1200,20.4,,280
Cooler Master MasterLiquid ML240 Illusion,129.83,https://pcpartpicker.com/product/vRwypg/cooler-master-masterliquid-ml240-illusion-472-cfm-liquid-cpu-cooler-mlx-d24m-a18pw-r1,"650,1800","6,30",White,240
ARCTIC Alpine 11 Pro Rev. 2,,https://pcpartpicker.com/product/3Mh9TW/arctic-cooling-cpu-cooler-acalp11pror2,"500,2000",,,
Thermalright Assassin King 120,,https://pcpartpicker.com/product/hMTp99/thermalright-assassin-king-120-6617-cfm-cpu-cooler-ak120-white,1500,25.6,White / Silver,
Cooler Master Wraith Ripper,272.51,https://pcpartpicker.com/product/6rhKHx/cooler-master-wraith-ripper-764-cfm-cpu-cooler-mam-d7pn-dwrps-t1,,"0,38",Black,
ID-COOLING SE-226-XT,49.43,https://pcpartpicker.com/product/kt2WGX/id-cooling-se-226-xt-682-cfm-cpu-cooler-se-226-xt-black,"500,1500","13.8,30.5",Black,
Enermax ETS-T50 AXE ARGB,39.99,https://pcpartpicker.com/product/KJyqqs/enermax-ets-t50-axe-argb-7132-cfm-cpu-cooler-ets-t50a-w-argb,"500,1600","14,24",White,
Phanteks PH-TC12ST5_DBK01,30.98,https://pcpartpicker.com/product/hzJp99/phanteks-ph-tc12st5_dbk01-8426-cfm-cpu-cooler-ph-tc12st5_dbk01,"400,2000",35.7,,
ENDORFY Fortis 5 Dual Fan,81.41,https://pcpartpicker.com/product/wbHqqs/endorfy-fortis-5-dual-fan-cpu-cooler-ey3a009,"250,1400",,Black / Silver,
Corsair H80i v2,,https://pcpartpicker.com/product/9FgPxr/corsair-h80i-v2-7069-cfm-liquid-cpu-cooler-cw-9060024-ww,2435,37.7,,120
BitFenix Cube ARGB,89.9,https://pcpartpicker.com/product/m9dG3C/bitfenix-cube-argb-60-cfm-liquid-cpu-cooler-bfw-aio-360-bb27a-rp,2000,34,Black,360
Thermaltake TH360 ARGB Sync,,https://pcpartpicker.com/product/N9VG3C/thermaltake-th360-argb-sync-5928-cfm-liquid-cpu-cooler-cl-w300-pl12sw-a,1500,28.2,Black,360
Jonsbo CR-1000 EVO ARGB Black,,https://pcpartpicker.com/product/vJgrxr/jonsbo-cr-1000-evo-argb-black-5948-cfm-cpu-cooler-cr-1000-evo-argb-black,"600,1500","22,32",Black,
Deepcool AS500 Plus,,https://pcpartpicker.com/product/dL92FT/deepcool-as500-plus-7081-cfm-cpu-cooler-r-as500-bknlmp-g,"500,1200",31.5,Black,
ENDORFY Navis F360,161.52,https://pcpartpicker.com/product/kzKscf/endorfy-navis-f360-liquid-cpu-cooler-ey3b003,"250,1800",,Black,360
NZXT Kraken Elite RGB (2024),,https://pcpartpicker.com/product/gT6NnQ/nzxt-kraken-elite-rgb-2024-7512-cfm-liquid-cpu-cooler-rl-kr24e-w2,"500,2400",30,White,240
Cooler Master Masterliquid 240 Atmos,123.99,https://pcpartpicker.com/product/72P8TW/cooler-master-masterliquid-240-atmos-707-cfm-liquid-cpu-cooler-mlx-d24m-a25pz-rw,"690,2500",27.2,White,240
Deepcool UD511 RGB,,https://pcpartpicker.com/product/PGP8TW/deepcool-ud511-rgb-4431-cfm-cpu-cooler-r-ud551-bkamab-g-1,"500,1800",26.8,Black,
MSI MAG CORELIQUID I360,139.99,https://pcpartpicker.com/product/JCNYcf/msi-mag-coreliquid-i360-707-cfm-liquid-cpu-cooler-mag-coreliquid-i360-white,,,White,360
Corsair H115i,224.98,https://pcpartpicker.com/product/RH2rxr/corsair-h115i-10465-cfm-liquid-cpu-cooler-cw-9060027-ww,2000,40,,280
Xilence I200,16.59,https://pcpartpicker.com/product/QHHqqs/xilence-i200-409-cfm-cpu-cooler-xc030,2200,25,Black / Silver,
Thermalright SI-100,24.19,https://pcpartpicker.com/product/NZJp99/thermalright-si-100-7237-cfm-cpu-cooler-si-100,2000,27.7,Gray,
Thermaltake TH360 ARGB Sync,129.99,https://pcpartpicker.com/product/9xyqqs/thermaltake-th360-argb-sync-5928-cfm-liquid-cpu-cooler-cl-w302-pl12sw-a,1500,28.2,White,360
Thermaltake TOUGHLIQUID Ultra,249.99,https://pcpartpicker.com/product/MZ88TW/thermaltake-toughliquid-ultra-1191-cfm-liquid-cpu-cooler-cl-w366-pl14bl-a,"500,2000",33.2,Black,420
MSI MEG CORELIQUID S280,319,https://pcpartpicker.com/product/47Z9TW/msi-meg-coreliquid-s280-8227-cfm-liquid-cpu-cooler-meg-coreliquid-s280,,24.9,Black,280
EVGA CLCx 240,94.99,https://pcpartpicker.com/product/MLt9TW/evga-clcx-240-7315-cfm-liquid-cpu-cooler-400-hy-cx24-v1,,35,Black,240
Gigabyte AORUS WATERFORCE X,,https://pcpartpicker.com/product/jJpzK8/gigabyte-aorus-waterforce-x-6007-cfm-liquid-cpu-cooler-aorus-waterforce-x-240,"800,2500","7.9,37.6",Black,240
Thermaltake TOUGHAIR 510,59.99,https://pcpartpicker.com/product/cmH7YJ/thermaltake-5835-cfm-cpu-cooler-cl-p075-al12bl-a,"500,2000",23.6,Black / Gray,
Cooler Master Hyper T20,,https://pcpartpicker.com/product/3dytt6/cooler-master-hyper-t20-317-cfm-cpu-cooler-rr-t20-20fk-r1,2000,30,Black / Silver,
Enermax ETS-N31-02,24.99,https://pcpartpicker.com/product/gzRzK8/enermax-ets-n31-02-328-cfm-cpu-cooler-ets-n31-02,"800,2000",24.5,Black / Silver,
Scythe Big Shuriken 3,,https://pcpartpicker.com/product/DKfhP6/scythe-big-shuriken-3-5079-cfm-cpu-cooler-scbsk-3000,"300,1800","2.7,30.4",Black / Silver,
Asus ROG Ryujin 240 RGB AIO,184.7,https://pcpartpicker.com/product/MxqhP6/asus-rog-ryujin-240-rgb-aio-1218-cfm-liquid-cpu-cooler-90rc0030-m0uay0,"450,2000",29.7,Black,240
CRYORIG M9a,,https://pcpartpicker.com/product/Gqp323/cryorig-cpu-cooler-m9a,"600,2200",26.4,,
Deepcool AK500S DIGITAL,,https://pcpartpicker.com/product/YB4Zxr/deepcool-ak500s-digital-6899-cfm-cpu-cooler-r-ak500s-whadmn-g,"500,1850",28,White,
Deepcool GAMMAXX GTE V2,,https://pcpartpicker.com/product/FJ2bt6/deepcool-gammaxx-gte-v2-645-cfm-cpu-cooler-dp-mch4-gmx-gte-v2wh,"500,1650",27.8,White,
Alphacool Core Ocean T38,69.45,https://pcpartpicker.com/product/Dz9wrH/alphacool-core-ocean-t38-628-cfm-liquid-cpu-cooler-13051,,"0,34.3",Black,240
be quiet! Pure Loop 2,89.9,https://pcpartpicker.com/product/MMmNnQ/be-quiet-pure-loop-2-liquid-cpu-cooler-bw016,,"13,32.1",Black,120
Deepcool LS520 WH,,https://pcpartpicker.com/product/gyjBD3/deepcool-ls520-wh-8585-cfm-liquid-cpu-cooler-r-ls520-whamnt-g-1,"500,2250",32.9,White,240
MSI MAG CORELIQUID I360,139.99,https://pcpartpicker.com/product/PyGhP6/msi-mag-coreliquid-i360-707-cfm-liquid-cpu-cooler-mag-coreliquid-i360,,,Black,360
Alpenföhn Panorama 2,,https://pcpartpicker.com/product/2DKscf/alpenfohn-panorama-2-58-cfm-cpu-cooler-84000000212,"500,3000",37.6,Black,
ARCTIC Liquid Freezer II 120,,https://pcpartpicker.com/product/CDZzK8/arctic-liquid-freezer-ii-120-563-cfm-liquid-cpu-cooler-acfre00067a,"200,1800",,Black,120
BitFenix Cube ARGB,89.9,https://pcpartpicker.com/product/8Ggrxr/bitfenix-cube-argb-60-cfm-liquid-cpu-cooler-bfw-aio-360-ww27a-rp,2000,34,White,360
be quiet! Pure Loop 360,,https://pcpartpicker.com/product/fJjNnQ/be-quiet-pure-loop-360-liquid-cpu-cooler-bw008,,"19.8,40.5",Black,360
Corsair iCUE LINK TITAN 280 RX RGB,179.99,https://pcpartpicker.com/product/NbBzK8/corsair-icue-link-titan-280-rx-rgb-947-cfm-liquid-cpu-cooler-cw-9061017-ww,"300,1700",,Black,280
Cooler Master MasterLiquid 360 Ion,249.99,https://pcpartpicker.com/product/9xwmP6/cooler-master-masterliquid-360-ion-752-cfm-liquid-cpu-cooler-mly-d36m-a24pz-r1,,30,Black,360
Deepcool AS500 PLUS WH,,https://pcpartpicker.com/product/7wRYcf/deepcool-as500-plus-wh-7081-cfm-cpu-cooler-r-as500-whnlmp-g,"500,1200",31.5,White / Silver,
ENDORFY Spartan 5 ARGB,29.99,https://pcpartpicker.com/product/fCP8TW/endorfy-spartan-5-argb-cpu-cooler-ey3a002,"250,1500",,Black / Silver,
Fractal Design Celsius+ S36 Prisma PWM ARGB,339.99,https://pcpartpicker.com/product/d3jNnQ/fractal-design-celsius-s36-prisma-pwm-argb-8571-cfm-liquid-cpu-cooler-fd-w-2-s3602,"500,2000",32.7,Black,360
ID-COOLING SE-224-XTS,26.99,https://pcpartpicker.com/product/bh26Mp/id-cooling-se-224-xts-70-cfm-cpu-cooler-se-224-xts,"600,1500",28.9,Black / Silver,
Iceberg Thermal IceSLEET G3,17.99,https://pcpartpicker.com/product/XVC48d/iceberg-thermal-icesleet-g3-50-cfm-cpu-cooler-icesleetg3-dgg-00a,"600,1200",20.5,Black / Gray,
ID-COOLING FROZN A610,49.99,https://pcpartpicker.com/product/pwfxFT/id-cooling-frozn-a610-78-cfm-cpu-cooler-frozn-a610-argb,"500,2000",29.9,Black,
Montech HyperFlow ARGB 240,85.99,https://pcpartpicker.com/product/mmtLrH/montech-hyperflow-argb-240-762-cfm-liquid-cpu-cooler-hyperflow-argb-240-white,2200,29.1,White,240
Antec VORTEX 240,126.87,https://pcpartpicker.com/product/q4ytt6/antec-vortex-240-5793-cfm-liquid-cpu-cooler-0-761345-74046-3,"600,2000",31.24,Black,240
ARCTIC Freezer 34 eSports,43.01,https://pcpartpicker.com/product/cqCD4D/arctic-freezer-34-esports-cpu-cooler-acfre00057a,"200,2100",,White / Black,
Thermalright Assassin King 90,25.9,https://pcpartpicker.com/product/ddstt6/thermalright-assassin-king-90-44-cfm-cpu-cooler-assassin-king-90-d3,2500,27.3,Black / Silver,
Thermaltake TH420 V2 ARGB Sync,119.99,https://pcpartpicker.com/product/GsMMnQ/thermaltake-th420-v2-argb-sync-8432-cfm-liquid-cpu-cooler-cl-w376-pl14sw-a,"500,1800",34.7,Black,420
Enermax AQUAFUSION ADV 240,61.09,https://pcpartpicker.com/product/GMRYcf/enermax-aquafusion-adv-240-798-cfm-liquid-cpu-cooler-elc-aqfa240-sqa,"500,2000","15,32.6",Black,240
ID-COOLING SE-224-XTS ARGB,,https://pcpartpicker.com/product/zTTZxr/id-cooling-se-224-xts-argb-70-cfm-cpu-cooler-se-224-xts-argb,"600,1500",28.9,Black,
Thermaltake TOUGHAIR 310,39.99,https://pcpartpicker.com/product/2JgFf7/thermaltake-toughair-310-5835-cfm-cpu-cooler-cl-p074-al12bl-a,"500,2000",23.6,Black / Gray,
Thermaltake TOUGHLIQUID Ultra RGB,279.99,https://pcpartpicker.com/product/CbjRsY/thermaltake-toughliquid-ultra-rgb-107-cfm-liquid-cpu-cooler-cl-w370-pl14sw-a,"500,2000",30.7,Black,420
Asus ROG STRIX LC III ARGB,130.42,https://pcpartpicker.com/product/z6Jp99/asus-rog-strix-lc-iii-argb-7038-cfm-liquid-cpu-cooler-rog-strix-lc-iii-240-argb,"800,2200",36,Black,240
Deepcool AG400 DIGITAL PLUS,,https://pcpartpicker.com/product/Gpn9TW/deepcool-ag400-digital-plus-7589-cfm-cpu-cooler-r-ag400-bkadmp-g-1,"500,2100",31.6,Black,
Thermaltake TH240 V2 Ultra ARGB Sync,135.99,https://pcpartpicker.com/product/n9RwrH/thermaltake-th240-v2-ultra-argb-sync-5705-cfm-liquid-cpu-cooler-cl-w383-pl12sw-a,"500,1800",25.8,Black,240
Jonsbo CR-1000 EVO ARGB White,,https://pcpartpicker.com/product/XcGhP6/jonsbo-cr-1000-evo-argb-white-5948-cfm-cpu-cooler-cr-1000-evo-argb-white,"600,1500","22,32",White,
Dynatron R24,47.95,https://pcpartpicker.com/product/CKfp99/dynatron-cpu-cooler-r24,"1500,7000","16,47.5",,
Phanteks Glacier One 240MPH,171.77,https://pcpartpicker.com/product/4d4BD3/phanteks-glacier-one-240mph-6051-cfm-liquid-cpu-cooler-ph-go240mph_dwt01,"500,2200","18,34.2",White / Black,240
Cooler Master I70,,https://pcpartpicker.com/product/3ZGhP6/cooler-master-i70-37-cfm-cpu-cooler-rr-i7a7-18fk-n1,1800,28,Black / Silver,
MSI MAG CORELIQUID R,,https://pcpartpicker.com/product/ssCFf7/msi-mag-coreliquid-r-7873-cfm-liquid-cpu-cooler-mag-core-liquid-240r,"500,2000","14.3,34.3",Black,240
Deepcool GAMMAXX GT A-RGB,,https://pcpartpicker.com/product/gbQfrH/deepcool-gammaxx-gt-a-rgb-645-cfm-cpu-cooler-dp-mch4-gmx-gt-argb,"500,1650",27.8,Black / Silver,
Aerocool Cylon 4,53.71,https://pcpartpicker.com/product/gxVG3C/aerocool-cylon-4-525-cfm-cpu-cooler-actc-cl3041001,"800,1800","14,26",Black,
Thermalright Assassin King 120,,https://pcpartpicker.com/product/P6qPxr/thermalright-assassin-king-120-6617-cfm-cpu-cooler-ak-120,1500,25.6,Black / Silver,
Thermaltake TH420 V2 ARGB Sync,139.99,https://pcpartpicker.com/product/XsP8TW/thermaltake-th420-v2-argb-sync-8432-cfm-liquid-cpu-cooler-cl-w378-pl14sw-a,"500,1800",34.7,White,420
Gelid Solutions Liquid 240,69,https://pcpartpicker.com/product/Vh3NnQ/gelid-solutions-liquid-240-liquid-cpu-cooler-cc-aio-240-a,"750,1800",29.6,Black,240
Thermaltake TH280 V2 ARGB Sync,112.99,https://pcpartpicker.com/product/J7n9TW/thermaltake-th280-v2-argb-sync-8432-cfm-liquid-cpu-cooler-cl-w377-pl14sw-a,"500,1800",34.7,White,280
Cooler Master Hyper TX3 EVO,70.59,https://pcpartpicker.com/product/t3rRsY/cooler-master-hyper-tx3-evo-548-cfm-cpu-cooler-rr-tx3e-28pk-r1,"800,2800","17,35",,
Deepcool Castle 240 RGB V2,,https://pcpartpicker.com/product/tnn8TW/deepcool-castle-240-rgb-v2-6934-cfm-liquid-cpu-cooler-dp-gs-h12ar-csl240v2,"500,1800",30,Black,240
ID-COOLING PINKFLOW 240 V2,,https://pcpartpicker.com/product/PsddnQ/id-cooling-pinkflow-240-v2-552-cfm-liquid-cpu-cooler-pinkflow-240-v2,"900,2000","16.3,33.5",Pink,240
Thermaltake UX 210 ARGB,54.98,https://pcpartpicker.com/product/2DpzK8/thermaltake-ux-210-argb-723-cfm-cpu-cooler-cl-p079-ca12sw-a,"600,2000",34.3,Black / Silver,
Corsair H80i GT,,https://pcpartpicker.com/product/G7PzK8/corsair-h80i-gt-7069-cfm-liquid-cpu-cooler-cw-9060017-ww,2435,37.7,,120
Cooler Master i71C RGB,,https://pcpartpicker.com/product/M4kj4D/cooler-master-i71c-rgb-37-cfm-rifle-bearing-cpu-cooler-rr-i71c-20pc-r1,"650,1800",,Black,
Iceberg Thermal IceSLEET X9 Dual TR,42.99,https://pcpartpicker.com/product/dGH7YJ/iceberg-thermal-icesleet-x9-dual-tr-96-cfm-cpu-cooler-icesleetx9-d0a,"500,1850","0,38",Teal / Silver,
Gigabyte AORUS WATERFORCE II 360,,https://pcpartpicker.com/product/VLKscf/gigabyte-aorus-waterforce-ii-360-6495-cfm-liquid-cpu-cooler-aorus-waterforce-ii-360,"800,2300","12.8,36.9",Black,360
Thermaltake TOUGHLIQUID 360 EX Pro ARGB Sync,,https://pcpartpicker.com/product/YktLrH/thermaltake-toughliquid-360-ex-pro-argb-sync-708-cfm-liquid-cpu-cooler-cl-w400-pl12bl-a,"500,2000",22.6,Black,360
ARCTIC Alpine 12,,https://pcpartpicker.com/product/PNm323/arctic-alpine-12-cpu-cooler-acalp00027a,"100,2000",,Black / White,
Cooler Master Hyper H411R,,https://pcpartpicker.com/product/8hx2FT/cooler-master-hyper-h411r-341-cfm-cpu-cooler-rr-h411-20pw-r1,"600,2000",29.4,Black / Silver,
Thermaltake Astria 400 ARGB,44.99,https://pcpartpicker.com/product/JpP8TW/thermaltake-astria-400-argb-65-cfm-cpu-cooler-cl-p120-ca12sw-a,"500,1800",26.8,Black,
Xilence I250PWM,24.78,https://pcpartpicker.com/product/F2dG3C/xilence-i250pwm-4425-cfm-cpu-cooler-xc032,"800,2500","17.6,26.4",Red / Black,
Lian Li GALAHAD AIO 240 RGB,,https://pcpartpicker.com/product/pYZzK8/lian-li-galahad-aio-240-rgb-6917-cfm-liquid-cpu-cooler-galahad-aio-240-rgb-white,"800,1900",,White / Silver,240
ID-COOLING IS-40X,26.99,https://pcpartpicker.com/product/chK2FT/id-cooling-is-40x-443-cfm-cpu-cooler-is-40x,"600,2500","14,33",Black / White,
be quiet! Pure Loop 2,116.98,https://pcpartpicker.com/product/DQhv6h/be-quiet-pure-loop-2-liquid-cpu-cooler-bw018,,"15.4,33.8",Black,280
Amazon Basics,,https://pcpartpicker.com/product/Ny26Mp/amazon-basics-341-cfm-cpu-cooler-rr-h410-20pc-as,"600,2000","6,29",,
Thermaltake Astria 200 ARGB,34.99,https://pcpartpicker.com/product/dGZXsY/thermaltake-astria-200-argb-65-cfm-cpu-cooler-cl-p119-al12sw-a,"500,1800",26.8,Black,
Scythe Kotetsu Mark 3,25.99,https://pcpartpicker.com/product/rw7scf/scythe-kotetsu-mark-3-6762-cfm-cpu-cooler-scktt-3000,"300,1500","4,28.6",Black / Silver,
Thermalright Frozen Warframe PRO ARGB,,https://pcpartpicker.com/product/pswmP6/thermalright-frozen-warframe-pro-argb-7084-cfm-liquid-cpu-cooler-fw-pro-360-argb-mew,2000,29.8,White,360
be quiet! Shadow Rock Slim 2,47.9,https://pcpartpicker.com/product/JNgFf7/be-quiet-shadow-rock-slim-2-cpu-cooler-bk032,1400,"11.5,23.7",Black,
be quiet! Dark Rock Pro 3,,https://pcpartpicker.com/product/9bFPxr/be-quiet-cpu-cooler-bk019,"1400,1700","13.2,26.1",,
Deepcool AN600,,https://pcpartpicker.com/product/qvqrxr/deepcool-an600-3675-cfm-cpu-cooler-an-600,"500,1850","20.4,24.2",Black / Silver,
ENDORFY Navis F240,125.76,https://pcpartpicker.com/product/8zKscf/endorfy-navis-f240-liquid-cpu-cooler-ey3b001,"250,1800",,Black,240
ARCTIC Freezer 4U-M,,https://pcpartpicker.com/product/4M7scf/arctic-freezer-4u-m-cpu-cooler-acfre00133a,"400,2300",40,Black / Silver,
Scythe Big Shuriken 3 Rev.B,,https://pcpartpicker.com/product/cfZ9TW/scythe-big-shuriken-3-revb-48-cfm-cpu-cooler-scbsk-3100,"300,1800","2.58,27.8",Black / Silver,
KOLINK Umbra Void,95.73,https://pcpartpicker.com/product/62CZxr/kolink-umbra-void-652-cfm-liquid-cpu-cooler-pgw-cc-kol-004,2200,30,Black,240
Deepcool ASSASSIN III,,https://pcpartpicker.com/product/YLsnTW/deepcool-assassin-iii-9037-cfm-cpu-cooler-assassin-iii,"400,1400",34.2,Black / Silver,
Mars Gaming ML-ONE,,https://pcpartpicker.com/product/ZRjBD3/mars-gaming-ml-one-692-cfm-liquid-cpu-cooler-mlone120,"600,1800","9,26",Black,120
Cooler Master MasterAir MA410P,49.99,https://pcpartpicker.com/product/Wfvbt6/cooler-master-masterair-ma410p-667-cfm-cpu-cooler-map-t4pn-220pc-r1,"650,2000","6,30",,
Thermaltake Water 3.0 360 ARGB Sync Edition,,https://pcpartpicker.com/product/xfNv6h/thermaltake-water-30-360-argb-sync-edition-5645-cfm-liquid-cpu-cooler-cl-w234-pl12sw-a,"500,1500",25.8,Black,360
Thermaltake TH280 V2 ARGB Sync,,https://pcpartpicker.com/product/hPhv6h/thermaltake-th280-v2-argb-sync-8432-cfm-liquid-cpu-cooler-cl-w375-pl14mg-a,"500,1800",25.8,Green,280
Alphacool Eisbaer Aurora 420,189.95,https://pcpartpicker.com/product/2dzFf7/alphacool-eisbaer-aurora-420-418-cfm-liquid-cpu-cooler-11731,"600,1500",,Black,420
Phanteks PH-TC12ST4_DBK01,22.99,https://pcpartpicker.com/product/XwLdnQ/phanteks-ph-tc12st4_dbk01-8426-cfm-cpu-cooler-ph-tc12st4_dbk01,"400,2000",35.7,,
ARCTIC Freezer A35 CO,36.64,https://pcpartpicker.com/product/kCjBD3/arctic-freezer-a35-co-cpu-cooler-acfre00113a,"200,1800",,Black / Silver,
Gigabyte AORUS WATERFORCE X II 240AORUS WATERFORCE X II 240,228.99,https://pcpartpicker.com/product/3sBzK8/gigabyte-aorus-waterforce-x-ii-240aorus-waterforce-x-ii-240-72-cfm-liquid-cpu-cooler-aorus-waterforce-x-ii-240,"800,2400","12,37.5",Black,240
TRYX PANORAMA ARGB,,https://pcpartpicker.com/product/GG7scf/tryx-panorama-argb-6609-cfm-liquid-cpu-cooler-l-p360a-as3m-g0w,"500,1850",27.86,White,360
BitFenix Cube ARGB,69.9,https://pcpartpicker.com/product/7V9wrH/bitfenix-cube-argb-60-cfm-liquid-cpu-cooler-bfw-aio-240-bb27a-rp,2000,34,Black,240
Vetroo U6 Pro,34.99,https://pcpartpicker.com/product/h7Z9TW/vetroo-u6-pro-582-cfm-cpu-cooler-vt-cpu-u6pro-bk,"700,1500","18.1,30.5",Black,
ARCTIC Freezer 34,,https://pcpartpicker.com/product/ByGxFT/arctic-freezer-34-cpu-cooler-acfre00052a,"200,1800",,Black / Silver,
Thermalright Frost Commander 140,,https://pcpartpicker.com/product/bnC48d/thermalright-frost-commander-140-955-cfm-cpu-cooler-fc140-white,1800,30.2,White,
Iceberg Thermal IceSLEET G4 Silent,19.99,https://pcpartpicker.com/product/hvmmP6/iceberg-thermal-icesleet-g4-silent-50-cfm-cpu-cooler-icesleetg4-bdd-00a,"600,1200",20.5,Black / Gray,
Iceberg Thermal IceSLEET X5,29.99,https://pcpartpicker.com/product/vDM48d/iceberg-thermal-icesleet-x5-76-cfm-cpu-cooler-icesleetx5-00a,"500,1850","0,36",Teal / Silver,
Jonsbo CR-3000 ARGB,36.99,https://pcpartpicker.com/product/TgzXsY/jonsbo-cr-3000-argb-5948-cfm-cpu-cooler-cr-3000-argb-black,"600,1500","22,32",Black / Silver,
Deepcool CASTLE 360EX,,https://pcpartpicker.com/product/K4848d/deepcool-castle-360ex-644-cfm-liquid-cpu-cooler-castle-360ex,"500,1800",32.1,Black,360
Iceberg Thermal IceFLOE OASIS 240,74.98,https://pcpartpicker.com/product/bdYRsY/iceberg-thermal-icefloe-oasis-240-7674-cfm-liquid-cpu-cooler-ifoa24-ban,"200,2200",28.9,Black,240
Antec Symphony ARGB,,https://pcpartpicker.com/product/YcGhP6/antec-symphony-argb-72-cfm-liquid-cpu-cooler-0-761345-74042-5,"800,1600","20,35",White,360
Cooler Master Hyper 212X,,https://pcpartpicker.com/product/PJYXsY/cooler-master-cpu-cooler-rr212x20pmr1,"600,2000","9,36",,
Valkyrie SYN,,https://pcpartpicker.com/product/NcFmP6/valkyrie-syn-80-cfm-liquid-cpu-cooler-vk-e360-w,"800,2150",29,White / Blue,360
Cooler Master Hyper 212 LED Turbo White Edition,,https://pcpartpicker.com/product/jdWBD3/cooler-master-hyper-212-led-turbo-white-edition-663-cfm-cpu-cooler-rr-212tw-16pw-r1,"600,1600","9,31",White,
Asus ROG STRIX LC III ARGB,133.79,https://pcpartpicker.com/product/BL3NnQ/asus-rog-strix-lc-iii-argb-7038-cfm-liquid-cpu-cooler-rog-strix-lc-iii-240-argb-wht,"800,2200",36,White,240
Enermax LIQMAX III 240 ARGB,64.98,https://pcpartpicker.com/product/GQddnQ/enermax-liqmax-iii-240-argb-721-cfm-liquid-cpu-cooler-elc-lmt240-w-argb,"500,1600","14,27",White / Black,240
EVGA CLC 360,,https://pcpartpicker.com/product/s3FKHx/evga-clc-360-7482-cfm-liquid-cpu-cooler-400-hy-cl36-v1,"500,2400","16,39.9",Black,360
MSI MPG CORELIQUID K240,168,https://pcpartpicker.com/product/Pp8bt6/msi-mpg-coreliquid-k240-774-cfm-liquid-cpu-cooler-mpg-coreliquid-k240,,"0,39.9",Black,240
KOLINK Umbra EX180,,https://pcpartpicker.com/product/2jxxFT/kolink-umbra-ex180-736-cfm-cpu-cooler-pgw-cc-kol-001,"800,1800",28.6,Black,
CRYORIG H7 Quad Lumi,115.34,https://pcpartpicker.com/product/bHcMnQ/cryorig-h7-quad-lumi-49-cfm-cpu-cooler-h7-quad-lumi,"330,1600","10,25",,
Xilence I350PWM,,https://pcpartpicker.com/product/rFV2FT/xilence-i350pwm-4425-cfm-cpu-cooler-xc232,"800,2500","17.6,26.4",Red / Black,
Thermalright Burst Assassin 120 SE,20.9,https://pcpartpicker.com/product/43qrxr/thermalright-burst-assassin-120-se-6617-cfm-cpu-cooler-ba120-se,1550,25.6,Black / Silver,
TEAMGROUP SIREN GD360E,124.99,https://pcpartpicker.com/product/zcqrxr/teamgroup-siren-gd360e-9397-cfm-liquid-cpu-cooler-tb130502,"600,2200","14.3,35.6",Black,360
KOLINK Umbra Void,,https://pcpartpicker.com/product/jvxxFT/kolink-umbra-void-652-cfm-liquid-cpu-cooler-pgw-cc-kol-005,2200,30,Black,360
Alphacool Eisbaer 420,151.45,https://pcpartpicker.com/product/tsndnQ/alphacool-eisbaer-420-6231-cfm-liquid-cpu-cooler-11390,1100,29.4,Black / Blue,420
Thermaltake Gravity A2,14.99,https://pcpartpicker.com/product/gPnypg/thermaltake-gravity-a2-4624-cfm-cpu-cooler-cl-p078-al09wt-a,"1200,3500",33.5,Silver / Black,
Antec A40PRO,53.27,https://pcpartpicker.com/product/NF2rxr/antec-a40pro-36-cfm-cpu-cooler-a40pro,"800,2200","16,23",,
Deepcool LE300,,https://pcpartpicker.com/product/gyYmP6/deepcool-le300-8585-cfm-liquid-cpu-cooler-r-le300-bklnmc-g-1,"500,2250",,Black,120
Scythe Ninja 5,,https://pcpartpicker.com/product/dZ3H99/scythe-ninja-5-4303-cfm-cpu-cooler-scnj-5000,"300,800","4,14.5",Black,
NZXT Kraken X61,,https://pcpartpicker.com/product/FFFPxr/nzxt-kraken-x61-1061-cfm-liquid-cpu-cooler-rl-krx61-01,"800,2000","20,37",,280
GAMDIAS CHIONE P3-360U,,https://pcpartpicker.com/product/PCFmP6/gamdias-chione-p3-360u-6901-cfm-liquid-cpu-cooler-chione-p3-360u,"800,2000","10,31",Black,360
Asus TUF Gaming LC 120 ARGB,111.49,https://pcpartpicker.com/product/vvvdnQ/asus-tuf-gaming-lc-120-argb-67-cfm-liquid-cpu-cooler-90rc00h1-m0aay0,"800,2000",,Black,120
