name,price,href,type,color,psu,side_panel,external_volume,internal_35_bays
In Win 101C,,https://pcpartpicker.com/product/tgdFf7/inwin-101c-black-atx-mid-tower-case-101c-black,ATX Mid Tower,Blue,,Tempered Glass,,2
Antec VSK10 Window,,https://pcpartpicker.com/product/xwVG3C/antec-vsk10-window-microatx-mid-tower-case-vsk10-window,MicroATX Mid Tower,Black,,Acrylic,,2
Deepcool Gamer Storm MACUBE 550,,https://pcpartpicker.com/product/bFTzK8/deepcool-gamer-storm-macube-550-atx-mid-tower-case-macube-550-wh,ATX Mid Tower,White,,Tempered Glass,65.9,4
Antec NX800,,https://pcpartpicker.com/product/GXYmP6/antec-nx800-atx-mid-tower-case-0-761345-81082-1,ATX Mid Tower,White,,Tempered Glass,54,3
Montech Flyer White,,https://pcpartpicker.com/product/sM4BD3/montech-flyer-white-microatx-mid-tower-case-flyer-white,MicroATX Mid Tower,White,,Tempered Glass,,2
Circle CC830,,https://pcpartpicker.com/product/PTjNnQ/circle-cc830-atx-mid-tower-case-cc830,ATX Mid Tower,Black / Red,,Acrylic,,3
Fractal Design Define 7,,https://pcpartpicker.com/product/wLbCmG/fractal-design-define-7-atx-mid-tower-case-fd-c-def7a-04,ATX Mid Tower,Black / White,,,62.4,6
Cooler Master CMP 501,,https://pcpartpicker.com/product/GVPgXL/cooler-master-cmp-501-atx-mid-tower-case-cmp-501-1nwrt60-au,ATX Mid Tower,Black,,Acrylic,,2
GameMax Shine G517,,https://pcpartpicker.com/product/ZR3mP6/gamemax-shine-g517-atx-mid-tower-case-gmx-g517,ATX Mid Tower,Black,,Tempered Glass,,2
darkFlash DLX22,,https://pcpartpicker.com/product/Ltwkcf/darkflash-dlx22-atx-mid-tower-case-dlx22-white,ATX Mid Tower,White,,Tempered Glass,,2
Apevia Enzo,,https://pcpartpicker.com/product/gysnTW/apevia-enzo-atx-mid-tower-case-enzo-pk,ATX Mid Tower,Pink,,Tempered Glass,35.7,3
Tempest Ghost,,https://pcpartpicker.com/product/HYddnQ/tempest-ghost-atx-mid-tower-case-tp-atx-cs-ghos,ATX Mid Tower,Black,,Tempered Glass,,3
BitFenix Enso Mesh 4ARGB,,https://pcpartpicker.com/product/ZFPQzy/bitfenix-enso-mesh-4argb-atx-mid-tower-case-bfc-esm-150-kkwgk-4a,ATX Mid Tower,Black,,Tempered Glass,,2
Aerocool Mecha,,https://pcpartpicker.com/product/W8Z9TW/aerocool-mecha-atx-mid-tower-case-mecha-g-bk-v1,ATX Mid Tower,Black,,Tempered Glass,33.5,2
GAMDIAS APOLLO E2,,https://pcpartpicker.com/product/2LjBD3/gamdias-apollo-e2-atx-mid-tower-case-apollo-e2,ATX Mid Tower,Black,,Tempered Glass,,2
GAMDIAS ATHENA M2 ELITE,,https://pcpartpicker.com/product/crWzK8/gamdias-athena-m2-elite-atx-mid-tower-case-athena-m2-elite,ATX Mid Tower,Black,,Tempered Glass,,2
GAMDIAS MARS M1,,https://pcpartpicker.com/product/PDM48d/gamdias-mars-m1-atx-mid-tower-case-mars-m1,ATX Mid Tower,Black,,Tempered Glass,,2
Cooler Master MasterBox MB600L V2 w/ODD,,https://pcpartpicker.com/product/n4Gbt6/cooler-master-masterbox-mb600l-v2-wodd-atx-mid-tower-case-mb600l2-kg5n-s00,ATX Mid Tower,Black,,Tempered Glass,42.7,2
Thermaltake Divider 500 TG ARGB Snow,159.99,https://pcpartpicker.com/product/36zhP6/thermaltake-divider-500-tg-argb-snow-atx-mid-tower-case-ca-1t4-00m6wn-01,ATX Mid Tower,White,,Tempered Glass,56.8,2
Azza Blaze 231,,https://pcpartpicker.com/product/gXKKHx/azza-blaze-atx-mid-tower-case-csaz-231g,ATX Mid Tower,Black,,Tempered Glass,40.4,3
Azza Celesta 340,,https://pcpartpicker.com/product/Qzt9TW/azza-celesta-atx-mid-tower-case-csaz-340,ATX Mid Tower,Black,,Tempered Glass,40.2,2
In Win Chopin MAX,,https://pcpartpicker.com/product/2zMMnQ/in-win-chopin-max-mini-itx-desktop-case-w200-w-power-supply-iw-cs-chopinmaxblk-ps200w,Mini ITX Desktop,Black,200,Mesh,4.4,0
Jonsbo VR3,,https://pcpartpicker.com/product/j9cgXL/jonsbo-vr3-mini-itx-tower-case-vr3-white,Mini ITX Tower,White,,Mesh,19.9,0
GameMax Master M905,,https://pcpartpicker.com/product/7DVmP6/gamemax-master-m905-atx-full-tower-case-master-m905,ATX Full Tower,Black,,Acrylic,53.8,8
KOLINK BASTION RGB,,https://pcpartpicker.com/product/vZCZxr/kolink-bastion-rgb-atx-mid-tower-case-bastion-white-rgb,ATX Mid Tower,White,,Tempered Glass,39.1,2
BGears b-Draco5907-RGB,,https://pcpartpicker.com/product/2b2WGX/bgears-b-draco5907-rgb-atx-mid-tower-case-b-draco5907-rgb,ATX Mid Tower,Black,,Tempered Glass,43.2,3
GameMax Brufen C3,,https://pcpartpicker.com/product/FWLFf7/gamemax-brufen-c3-atx-mid-tower-case-brufen-c3-bw,ATX Mid Tower,Black / Blue,,Tempered Glass,42.2,2
EVOLVEO Nate 2,,https://pcpartpicker.com/product/HTxxFT/evolveo-nate-2-atx-mid-tower-case-cae-nate-2,ATX Mid Tower,,,Acrylic,36.6,2
